drug,molecule_chembl_id,mechanism_of_action,action_type,direct_interaction,disease_efficacy,molecular_mechanism,selectivity_comment,target_chembl_id,record_id,mechanism_refs
LESTAURTINIB,CHEMBL603469,Tyrosine-protein kinase JAK2 inhibitor,INHIBITOR,1,1,1,,CHEMBL2971,1706061,"[{""ref_id"": ""17984313"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/17984313""}]"
LESTAURTINIB,CHEMBL603469,Nerve growth factor receptor Trk-A inhibitor,INHIBITOR,1,1,1,,CHEMBL2815,1706061,"[{""ref_id"": ""10473107"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/10473107""}]"
LESTAURTINIB,CHEMBL603469,Neurotrophic tyrosine kinase receptor type 2 inhibitor,INHIBITOR,1,1,1,,CHEMBL4898,1706061,"[{""ref_id"": ""10473107"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/10473107""}]"
LESTAURTINIB,CHEMBL603469,NT-3 growth factor receptor inhibitor,INHIBITOR,1,1,1,,CHEMBL5608,1706061,"[{""ref_id"": ""10473107"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/10473107""}]"
LESTAURTINIB,CHEMBL603469,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,1,1,1,,CHEMBL2041,1706061,"[{""ref_id"": ""14500395"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/14500395""}]"
METHOTREXATE,CHEMBL34259,Dihydrofolate reductase inhibitor,INHIBITOR,1,1,1,,CHEMBL202,1705350,"[{""ref_id"": ""setid=9ab8ce16-f7de-41d4-a4c8-1c742621b6d5"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9ab8ce16-f7de-41d4-a4c8-1c742621b6d5""}]"
MK-2206,CHEMBL1079175,Serine/threonine-protein kinase AKT inhibitor,INHIBITOR,1,1,1,,CHEMBL2111353,2473018,"[{""ref_id"": ""http://cancerres.aacrjournals.org/content/69/9_Supplement/DDT01-1.abstract"", ""ref_type"": ""Other"", ""ref_url"": ""http://cancerres.aacrjournals.org/content/69/9_Supplement/DDT01-1.abstract""}, {""ref_id"": ""20571069"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/20571069""}]"
MOTESANIB,CHEMBL572881,Stem cell growth factor receptor inhibitor,INHIBITOR,1,1,1,,CHEMBL1936,1699778,"[{""ref_id"": ""16951187"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/16951187""}]"
MOTESANIB,CHEMBL572881,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,1,1,1,,CHEMBL2041,1699778,"[{""ref_id"": ""16951187"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/16951187""}]"
MOTESANIB,CHEMBL572881,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,1,1,1,,CHEMBL2095227,1699778,"[{""ref_id"": ""16951187"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/16951187""}]"
MOTESANIB,CHEMBL572881,Platelet-derived growth factor receptor inhibitor,INHIBITOR,1,1,1,,CHEMBL2095189,1699778,"[{""ref_id"": ""16951187"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/16951187""}]"
NAVITOCLAX,CHEMBL443684,Apoptosis regulator Bcl-2 inhibitor,INHIBITOR,1,1,1,"High affinity for Bcl-xL, Bcl-2, and Bcl-w (Ki =1 nmol/L).",CHEMBL4860,1706071,"[{""ref_id"": ""18451170"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/18451170""}, {""ref_id"": ""21094089"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/21094089""}]"
NAVITOCLAX,CHEMBL443684,Apoptosis regulator Bcl-X inhibitor,INHIBITOR,1,1,1,"High affinity for Bcl-xL, Bcl-2, and Bcl-w (Ki =1 nmol/L).",CHEMBL4625,1706071,"[{""ref_id"": ""18451170"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/18451170""}, {""ref_id"": ""21094089"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/21094089""}]"
NAVITOCLAX,CHEMBL443684,Apoptosis regulator Bcl-W inhibitor,INHIBITOR,1,1,1,"High affinity for Bcl-xL, Bcl-2, and Bcl-w (Ki =1 nmol/L).",CHEMBL4677,1706071,"[{""ref_id"": ""18451170"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/18451170""}]"
OLAPARIB,CHEMBL521686,"PARP 1, 2 and 3 inhibitor",INHIBITOR,1,1,1,,CHEMBL3390820,1976739,"[{""ref_id"": ""label/2014/206162lbl.pdf"", ""ref_type"": ""FDA"", ""ref_url"": ""http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206162lbl.pdf""}]"
PALBOCICLIB,CHEMBL189963,CDK6/cyclin D1 inhibitor,INHIBITOR,1,1,1,,CHEMBL2111455,1879144,"[{""ref_id"": ""label/2015/207103s000lbl.pdf"", ""ref_type"": ""FDA"", ""ref_url"": ""http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207103s000lbl.pdf""}]"
PALBOCICLIB,CHEMBL189963,Cyclin-dependent kinase 4/cyclin D1 inhibitor,INHIBITOR,1,1,1,,CHEMBL1907601,1879144,"[{""ref_id"": ""label/2015/207103s000lbl.pdf"", ""ref_type"": ""FDA"", ""ref_url"": ""http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207103s000lbl.pdf""}]"
PD0325901,CHEMBL507361,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,INHIBITOR,1,1,1,,CHEMBL3587,2472888,"[{""ref_id"": ""http://cancerres.aacrjournals.org/content/64/7_Supplement/925.1"", ""ref_type"": ""Other"", ""ref_url"": ""http://cancerres.aacrjournals.org/content/64/7_Supplement/925.1""}, {""ref_id"": ""15573115"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/15573115""}]"
PD0325901,CHEMBL507361,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,1,1,1,,CHEMBL2964,2472888,"[{""ref_id"": ""http://cancerres.aacrjournals.org/content/64/7_Supplement/925.1"", ""ref_type"": ""Other"", ""ref_url"": ""http://cancerres.aacrjournals.org/content/64/7_Supplement/925.1""}, {""ref_id"": ""15573115"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/15573115""}]"
PEVONEDISTAT,CHEMBL1231160,NEDD8 activating enzyme inhibitor,INHIBITOR,1,1,1,,CHEMBL3831283,1879146,"[{""ref_id"": ""19360080"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/19360080""}]"
PICTILISIB,CHEMBL521851,PI3-kinase class I inhibitor,INHIBITOR,1,1,1,,CHEMBL3559703,1699898,"[{""ref_id"": ""18754654"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/18754654""}, {""ref_id"": ""25370471"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/25370471""}]"
REFAMETINIB,CHEMBL1236682,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,INHIBITOR,1,1,1,,CHEMBL3587,2472731,"[{""ref_id"": ""19706763"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/19706763""}]"
REFAMETINIB,CHEMBL1236682,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,1,1,1,,CHEMBL2964,2472731,"[{""ref_id"": ""19706763"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/19706763""}]"
RUCAPARIB,CHEMBL1173055,"PARP 1, 2 and 3 inhibitor",INHIBITOR,1,1,1,,CHEMBL3390820,1702625,"[{""ref_id"": ""19047122"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/19047122""}]"
SELUMETINIB,CHEMBL1614701,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,INHIBITOR,1,1,1,,CHEMBL3587,1705242,"[{""ref_id"": ""17332304"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/17332304""}, {""ref_id"": ""17699718"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/17699718""}]"
SELUMETINIB,CHEMBL1614701,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,1,1,1,,CHEMBL2964,1705242,"[{""ref_id"": ""17332304"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/17332304""}, {""ref_id"": ""17699718"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/17699718""}]"
