drug,activity_chembl_id,molecule_chembl_id,assay_chembl_id,target_chembl_id,target_pref_name,target_organism,bao_label,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,activity_comment,src_id,document_chembl_id
OLAPARIB,,CHEMBL521686,CHEMBL5227212,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,5.0,nM,8.3,,,1,CHEMBL5226297
OLAPARIB,,CHEMBL521686,CHEMBL5227213,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,IC50,=,1.0,nM,9.0,,,1,CHEMBL5226297
OLAPARIB,,CHEMBL521686,CHEMBL5240110,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,1.49,nM,8.83,,,1,CHEMBL5236633
OLAPARIB,,CHEMBL521686,CHEMBL5240111,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,139.0,nM,6.86,,,1,CHEMBL5236633
OLAPARIB,,CHEMBL521686,CHEMBL5243307,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,5770.0,nM,5.24,,,1,CHEMBL5241112
OLAPARIB,,CHEMBL521686,CHEMBL5291724,CHEMBL226,Adenosine receptor A1,Homo sapiens,single protein format,AC50,=,11910.0,nM,4.92,,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")",1,CHEMBL5291721
OLAPARIB,,CHEMBL521686,CHEMBL5291898,CHEMBL241,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",Homo sapiens,assay format,AC50,=,23999.9,nM,4.62,,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")",1,CHEMBL5291721
OLAPARIB,,CHEMBL521686,CHEMBL5324546,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,20.3,nM,7.69,,,1,CHEMBL5321287
OLAPARIB,,CHEMBL521686,CHEMBL5324556,CHEMBL1075458,HCC1937,Homo sapiens,cell-based format,IC50,=,6510.0,nM,5.19,,,1,CHEMBL5321287
OLAPARIB,,CHEMBL521686,CHEMBL5324557,CHEMBL4296465,MDA-MB-436,Homo sapiens,cell-based format,IC50,=,9000.0,nM,5.05,,,1,CHEMBL5321287
