drug,query_used,molecule_chembl_id,pref_name,molecule_type,max_phase,oral,parenteral,topical,black_box_warning,availability_type,first_approval,indication_class,helm_notation,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,heavy_atoms,num_ro5_violations,qed_weighted
DACTOLISIB,DACTOLISIB,CHEMBL1879463,DACTOLISIB,Small molecule,3.0,False,False,False,0,,,,,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,"InChI=1S/C30H23N5O/c1-30(2,18-31)22-9-11-23(12-10-22)35-28-24-15-19(21-14-20-6-4-5-7-25(20)32-16-21)8-13-26(24)33-17-27(28)34(3)29(35)36/h4-17H,1-3H3",JOGKUKXHTYWRGZ-UHFFFAOYSA-N,469.55,5.89,76.50,6,0,3,6,36,1,0.32
DOCETAXEL,DOCETAXEL,CHEMBL3545252,DOCETAXEL,Small molecule,4.0,False,True,False,1,1.0,1995.0,,,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,"InChI=1S/C43H53NO14.3H2O/c1-22-26(55-37(51)32(48)30(24-15-11-9-12-16-24)44-38(52)58-39(3,4)5)20-43(53)35(56-36(50)25-17-13-10-14-18-25)33-41(8,34(49)31(47)29(22)40(43,6)7)27(46)19-28-42(33,21-54-28)57-23(2)45;;;/h9-18,26-28,30-33,35,46-48,53H,19-21H2,1-8H3,(H,44,52);3*1H2/t26-,27-,28+,30-,31+,32+,33-,35-,41+,42-,43+;;;/m0.../s1",XCDIRYDKECHIPE-QHEQPUDQSA-N,861.94,3.26,224.45,14,5,8,2,58,2,0.15
DORAMAPIMOD,DORAMAPIMOD,CHEMBL103667,DORAMAPIMOD,Small molecule,2.0,False,False,False,0,,,,,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,"InChI=1S/C31H37N5O3/c1-22-9-11-23(12-10-22)36-29(21-28(34-36)31(2,3)4)33-30(37)32-26-13-14-27(25-8-6-5-7-24(25)26)39-20-17-35-15-18-38-19-16-35/h5-14,21H,15-20H2,1-4H3,(H2,32,33,37)",MVCOAUNKQVWQHZ-UHFFFAOYSA-N,527.67,5.99,80.65,6,2,7,4,39,2,0.31
EHT-1864,EHT-1864,CHEMBL3216441,,Small molecule,,False,False,False,0,-1.0,,,,Cl.Cl.O=c1cc(CN2CCOCC2)occ1OCCCCCSc1ccnc2cc(C(F)(F)F)ccc12,"InChI=1S/C25H27F3N2O4S.2ClH/c26-25(27,28)18-4-5-20-21(14-18)29-7-6-24(20)35-13-3-1-2-10-33-23-17-34-19(15-22(23)31)16-30-8-11-32-12-9-30;;/h4-7,14-15,17H,1-3,8-13,16H2;2*1H",LSECOAJFCKFQJG-UHFFFAOYSA-N,581.48,5.38,64.80,7,0,10,3,35,2,0.27
FULVESTRANT,FULVESTRANT,CHEMBL1358,FULVESTRANT,Small molecule,4.0,False,True,False,0,1.0,2002.0,,,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,"InChI=1S/C32H47F5O3S/c1-30-17-15-26-25-12-11-24(38)21-23(25)20-22(29(26)27(30)13-14-28(30)39)10-7-5-3-2-4-6-8-18-41(40)19-9-16-31(33,34)32(35,36)37/h11-12,21-22,26-29,38-39H,2-10,13-20H2,1H3/t22-,26-,27+,28+,29-,30+,41?/m1/s1",VWUXBMIQPBEWFH-WCCTWKNTSA-N,606.78,8.68,63.52,3,2,14,1,41,2,0.13
GEFITINIB,GEFITINIB,CHEMBL939,GEFITINIB,Small molecule,4.0,True,False,False,0,1.0,2003.0,,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,"InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)",XGALLCVXEZPNRQ-UHFFFAOYSA-N,446.91,4.28,68.74,7,1,8,3,31,0,0.52
GEMCITABINE,GEMCITABINE,CHEMBL888,GEMCITABINE,Small molecule,4.0,False,True,False,0,1.0,1996.0,,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,"InChI=1S/C9H11F2N3O4/c10-9(11)6(16)4(3-15)18-7(9)14-2-1-5(12)13-8(14)17/h1-2,4,6-7,15-16H,3H2,(H2,12,13,17)/t4-,6-,7-/m1/s1",SDUQYLNIPVEERB-QPPQHZFASA-N,263.20,-1.29,110.60,7,3,2,1,18,0,0.61
GW441756,GW441756,CHEMBL5308477,,,,False,False,False,0,-1.0,,,,Cn1cc(/C=C2/C(=O)Nc3cccnc32)c2ccccc21,"InChI=1S/C17H13N3O/c1-20-10-11(12-5-2-3-7-15(12)20)9-13-16-14(19-17(13)21)6-4-8-18-16/h2-10H,1H3,(H,19,21)/b13-9+",NXNQLECPAXXYTR-UKTHLTGXSA-N,275.31,3.07,46.92,3,1,1,3,21,0,0.69
JQ1,JQ1,CHEMBL3220211,,Small molecule,,False,False,False,0,-1.0,,,,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,"InChI=1S/C23H25ClN4O2S/c1-12-13(2)31-22-19(12)20(15-7-9-16(24)10-8-15)25-17(11-18(29)30-23(4,5)6)21-27-26-14(3)28(21)22/h7-10,17H,11H2,1-6H3/t17-/m1/s1",DNVXATUJJDPFDM-QGZVFWFLSA-N,457.00,5.53,69.37,7,0,3,3,31,1,0.49
KU-55933,KU-55933,CHEMBL222102,KU-55933,Small molecule,,False,False,False,0,-1.0,,,,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,"InChI=1S/C21H17NO3S2/c23-14-12-16(25-20(13-14)22-8-10-24-11-9-22)15-4-3-7-19-21(15)27-18-6-2-1-5-17(18)26-19/h1-7,12-13H,8-11H2",XRKYMMUGXMWDAO-UHFFFAOYSA-N,395.51,4.76,42.68,6,0,2,3,27,0,0.49
