original_drug,query_used,status,selected_cid,all_cids,error,CID,ConnectivitySMILES,SMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity
MOTESANIB,MOTESANIB,ok,11667893,11667893,,11667893,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,C22H23N5O,373.5,3.9,78.9,3,5,5,533.0
NAVITOCLAX,NAVITOCLAX,ok,24978538,24978538,,24978538,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,C47H55ClF3N5O6S3,974.6,9.6,170.0,2,14,16,1800.0
NU7441,NU7441,ok,11327430,11327430,,11327430,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,C25H19NO3S,413.5,5.5,67.0,0,5,2,690.0
NUTLIN-3A (-),Nutlin-3a,ok,11433190,11433190,,11433190,CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,CC(C)OC1=C(C=CC(=C1)OC)C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,C30H30Cl2N4O4,581.5,5.2,83.5,1,5,6,919.0
OLAPARIB,OLAPARIB,ok,23725625,23725625,,23725625,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,C24H23FN4O3,434.5,1.9,82.1,1,5,4,790.0
PALBOCICLIB,PALBOCICLIB,ok,5330286,5330286,,5330286,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,C24H29N7O2,447.5,1.8,103.0,2,8,5,775.0
PD0325901,PD0325901,ok,9826528,9826528,,9826528,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,C16H14F3IN2O4,482.19,3.0,90.8,4,8,7,465.0
PD173074,PD173074,ok,1401,1401,,1401,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,C28H41N7O3,523.7,4.5,114.0,3,8,13,690.0
PEVONEDISTAT,PEVONEDISTAT,ok,16720766,16720766,,16720766,C1CC2=CC=CC=C2C1NC3=C4C=CN(C4=NC=N3)C5CC(C(C5)O)COS(=O)(=O)N,C1CC2=CC=CC=C2[C@H]1NC3=C4C=CN(C4=NC=N3)[C@@H]5C[C@H]([C@H](C5)O)COS(=O)(=O)N,C21H25N5O4S,443.5,1.7,141.0,3,8,6,734.0
PFI-1,PFI-1,ok,71271629,71271629,,71271629,CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O,CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O,C16H17N3O4S,347.4,1.2,96.1,2,5,4,562.0
PICTILISIB,PICTILISIB,ok,17755052,17755052,,17755052,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,C23H27N7O3S2,513.6,1.6,144.0,1,10,5,831.0
PLX-4720,PLX-4720,ok,24180719,24180719,,24180719,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,C17H14ClF2N3O3S,413.8,3.3,100.0,2,7,6,648.0
REFAMETINIB,REFAMETINIB,ok,44182295,44182295,,44182295,COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)CC(CO)O)NC3=C(C=C(C=C3)I)F)F)F,COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)NC3=C(C=C(C=C3)I)F)F)F,C19H20F3IN2O5S,572.3,2.8,116.0,4,10,9,711.0
RO-3306,RO-3306,ok,136240579,136240579,,136240579,C1=CC2=C(C=CC(=C2)C=C3C(=O)NC(=NCC4=CC=CS4)S3)N=C1,C1=CC2=C(C=CC(=C2)C=C3C(=O)NC(=NCC4=CC=CS4)S3)N=C1,C18H13N3OS2,351.4,4.0,108.0,1,5,3,548.0
RUCAPARIB,RUCAPARIB,ok,9931954,9931954,,9931954,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,C19H18FN3O,323.4,2.5,56.9,3,3,3,466.0
SB216763,SB216763,ok,176158,176158,,176158,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,C19H12Cl2N2O2,371.2,3.9,51.1,1,2,2,621.0
SB590885,SB590885,ok,135564599,135564599,,135564599,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,C27H27N5O2,453.5,4.0,86.6,2,6,7,674.0
SELUMETINIB,SELUMETINIB,ok,10127622,10127622,,10127622,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,C17H15BrClFN4O3,457.7,3.6,88.4,3,6,6,523.0
SERDEMETAN,SERDEMETAN,ok,11609586,11609586,,11609586,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,C21H20N4,328.4,4.6,52.7,3,3,6,387.0
SGC0946,SGC0946,ok,56962337,56962337,,56962337,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,C28H40BrN7O4,618.6,3.0,151.0,5,8,10,825.0
SN-38,SN-38,ok,104842,104842,,104842,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)O,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O,C22H20N2O5,392.4,1.4,100.0,2,6,2,820.0
TALAZOPARIB,TALAZOPARIB,ok,135565082,135565082,,135565082,CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,C19H14F2N6O,380.4,2.3,84.2,2,7,2,654.0
TAMOXIFEN,TAMOXIFEN,ok,2733526,2733526,,2733526,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,C26H29NO,371.5,7.1,12.5,0,2,8,463.0
TANESPIMYCIN,TANESPIMYCIN,ok,6505803,6505803,,6505803,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,C31H43N3O8,585.7,2.6,166.0,4,9,7,1210.0
TEMOZOLOMIDE,TEMOZOLOMIDE,ok,5394,5394,,5394,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,C6H6N6O2,194.15,-1.1,106.0,1,5,1,315.0
TRAMETINIB,TRAMETINIB,ok,11707110,11707110,,11707110,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,C26H23FIN5O4,615.4,3.4,102.0,2,6,5,1090.0
VELIPARIB,VELIPARIB,ok,11960529,11960529,,11960529,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,C[C@@]1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,C13H16N4O,244.29,0.5,83.8,3,3,2,348.0
VISMODEGIB,VISMODEGIB,ok,24776445,24776445,,24776445,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,C19H14Cl2N2O3S,421.3,3.8,84.5,1,4,4,625.0
VORINOSTAT,VORINOSTAT,ok,5311,5311,,5311,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,C14H20N2O3,264.32,1.9,78.4,3,3,8,276.0
WEE1 INHIBITOR,Wee1 inhibitor II,ok,10319891,10319891,,10319891,CCCCN1C2=C(C=C(C=C2)O)C3=C1C=C(C4=C3C(=O)NC4=O)C5=CC=CC=C5Cl,CCCCN1C2=C(C=C(C=C2)O)C3=C1C=C(C4=C3C(=O)NC4=O)C5=CC=CC=C5Cl,C24H19ClN2O3,418.9,5.2,71.3,2,3,4,687.0
YK-4-279,YK-4-279,ok,44632017,44632017,,44632017,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,C17H13Cl2NO4,366.2,3.1,75.6,2,4,4,509.0
ZM447439,ZM447439,ok,9914412,9914412,,9914412,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,C29H31N5O4,513.6,4.2,97.8,2,8,10,709.0
