drug,n_oof,RMSE_ens,R2_ens,Spearman_ens,Pearson_ens,RMSE_mean,R2_mean,RMSE_ens_fold_mean,RMSE_ens_fold_std,R2_ens_fold_mean,R2_ens_fold_std,Spearman_ens_fold_mean,Spearman_ens_fold_std,Pearson_ens_fold_mean,Pearson_ens_fold_std,RMSE_mean_fold_mean,RMSE_mean_fold_std,R2_mean_fold_mean,R2_mean_fold_std
PEVONEDISTAT,203,1.0853809307893565,0.24823194958459616,0.5185267005402366,0.4988589169821903,1.0986728303164635,0.22970645273142365,1.0777403450626146,0.13038387592917824,0.2487050207790417,0.1515825237868645,0.5291074778879657,0.15673743171287485,0.5123829225476291,0.13923113363262365,1.092767707968052,0.11443077774884838,0.23162461627845143,0.10579779872979045
PFI-1,203,1.0239380646404341,0.19817130063267474,0.45214186733074935,0.4466137948441541,1.0294370345279367,0.18953587291953622,1.0167558932164846,0.1405629481310777,0.2006937039068403,0.11204667765900883,0.47798177432323785,0.15668993309909507,0.4791749354209468,0.107370298011411,1.0244674888524696,0.12090876323315132,0.18936005550471885,0.057175020723942274
PICTILISIB,203,1.2837681936100738,0.1533494851578474,0.3969304348574527,0.39336699378100304,1.2815266063314203,0.15630357628292346,1.278353440317825,0.14229728765098903,0.15161443183718842,0.09335392706982812,0.4094532296971322,0.13392108847895548,0.41807331635457556,0.10088283461915294,1.276576144768833,0.13848759837237523,0.1539027383919962,0.08739209606169344
PLX-4720,203,0.7316123935091631,0.23442097820954455,0.4814804720112696,0.48426071557548045,0.7464335235516191,0.20308832580365543,0.7309593482266704,0.043706415511718145,0.23191505097055556,0.0252107593626394,0.48502814258911825,0.054926090071525685,0.49410624285055055,0.03581483631176683,0.7452549519365482,0.05526717320828399,0.20248283985059254,0.03824503766491523
REFAMETINIB,203,1.3204544844904063,0.4201312430203722,0.6702333374455962,0.6494003233219323,1.321860760565226,0.41889547185720166,1.3175652795546937,0.11667861397231907,0.41425950505622106,0.10132795919406905,0.6962798177432326,0.09867896670379107,0.6798189934456413,0.08581716580844247,1.3195135744267887,0.10490714660504286,0.41519760833423847,0.07420993339426371
RO-3306,203,0.8646939821881441,0.28721670613766237,0.5369171226018574,0.5365616588034285,0.8851802578706965,0.25304218091248,0.8571081699315,0.11939229482063922,0.28567065548708354,0.1905278288709836,0.5527365317609221,0.15126607128347977,0.5571143971142937,0.1465822192513239,0.8798964561521594,0.1002403687512329,0.25458274575583373,0.13247963763181694
RUCAPARIB,203,0.8551023375945687,0.19527866382890646,0.4427013550384306,0.4444789544719501,0.8503622270259389,0.20417560054403439,0.8478795751030269,0.12044760935572152,0.20212322100365795,0.09459850911584756,0.4684427767354597,0.08716915745760542,0.4945948835700461,0.07003134710463778,0.8454786584995994,0.09806708020473232,0.2054980855963892,0.054468745132904305
SB216763,203,0.7278798163219644,0.3507130852207573,0.5989912523561832,0.5930672926670939,0.7372171518417485,0.33394796657769543,0.7272215018161949,0.03531416848075968,0.34758605286245425,0.06758554473883029,0.6369230769230769,0.02556561425423313,0.635549941896796,0.042473696717230475,0.7364485835609156,0.0389967614930121,0.33247724317793753,0.051104356889882435
SB590885,203,0.7147572455042346,0.4376550818344188,0.6968851043319343,0.6625810589488983,0.7155599520905024,0.43639129208435845,0.7111807856538851,0.07737323184988713,0.43413500589734183,0.08104996691689267,0.7108308764406327,0.04586777912180532,0.6847847949348028,0.04524637688997551,0.712605849616678,0.07037753411214566,0.4334604348829159,0.058885763436886236
SELUMETINIB,203,1.1920844582607961,0.31969796120922134,0.5688880536851136,0.56704909148479,1.1967959616671522,0.31430978684934596,1.1841239653559785,0.14413205998736603,0.30268236096927403,0.11426747783474847,0.5786866791744842,0.08288165526400318,0.6016443667596956,0.0669400444798606,1.1849712671553991,0.18316451053683558,0.3131772249428555,0.0210879289311044
