drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
MK-2206,5,stacking,ridge,1.0,-0.7094798512925182,163,40,mrna,0.1980339822987031
MOTESANIB,1,stacking,ridge,1.0,-1.12178905218981,162,41,mrna,0.5453816818497196
MOTESANIB,2,stacking,ridge,1.0,-1.4298145207451909,162,41,mrna,0.48336937355192033
MOTESANIB,3,stacking,ridge,1.0,-1.0359105171996488,162,41,mrna,0.4056783574833892
MOTESANIB,4,stacking,ridge,1.0,-1.080082975165054,163,40,mrna,0.35779276153368295
MOTESANIB,5,stacking,ridge,1.0,-0.9295837784030136,163,40,mrna,0.7893437603181507
NAVITOCLAX,1,stacking,ridge,1.0,-0.0025841387162881535,162,41,mrna,1.0538360744660458
NAVITOCLAX,2,stacking,ridge,1.0,0.04884803050179043,162,41,mrna,0.8881057113636484
NAVITOCLAX,3,stacking,ridge,1.0,-0.14658404356888388,162,41,mrna,0.9400224152459952
NAVITOCLAX,4,stacking,ridge,1.0,-0.12833778590103773,163,40,mrna,0.8512257724268601
NAVITOCLAX,5,stacking,ridge,1.0,0.062085645156347624,163,40,mrna,0.9425078801840954
NU7441,1,stacking,ridge,1.0,-0.4760398608084815,162,41,mrna,0.5047087602316556
NU7441,2,stacking,ridge,1.0,-0.42493596818705726,162,41,mrna,0.420395294546867
NU7441,3,stacking,ridge,1.0,-0.4726872694132105,162,41,mrna,0.5233613411415476
NU7441,4,stacking,ridge,1.0,-0.5784796917506521,163,40,mrna,0.4431543658066633
NU7441,5,stacking,ridge,1.0,-0.5589211456959151,163,40,mrna,0.30885480156968204
NUTLIN-3A (-),1,stacking,ridge,1.0,0.193800813578338,162,41,mrna,0.9543190058448696
NUTLIN-3A (-),2,stacking,ridge,1.0,0.40332970828015036,162,41,mrna,0.829746131161884
NUTLIN-3A (-),3,stacking,ridge,1.0,-0.09351400107593788,162,41,mrna,0.7853627970017453
NUTLIN-3A (-),4,stacking,ridge,1.0,0.0291849212619244,163,40,mrna,0.8403495001866219
NUTLIN-3A (-),5,stacking,ridge,1.0,0.42344697006203535,163,40,mrna,0.7833989325539917
OLAPARIB,1,stacking,ridge,1.0,-0.71023560752309,162,41,mrna,0.45499722602218423
OLAPARIB,2,stacking,ridge,1.0,0.018596646095064617,162,41,mrna,0.581041393815663
OLAPARIB,3,stacking,ridge,1.0,-0.33548619771104216,162,41,mrna,0.4578434381169744
OLAPARIB,4,stacking,ridge,1.0,-0.5537666470595823,163,40,mrna,0.538839541925743
OLAPARIB,5,stacking,ridge,1.0,-0.3073862549418602,163,40,mrna,0.28702446751310406
PALBOCICLIB,1,stacking,ridge,1.0,-0.2048077911685704,162,41,mrna,1.119837467048199
