drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna,row_id
JQ1,5,stacking,ridge,1.0,-0.1263613122769739,163,40,0.8259738654823555,-0.019917519632528396,-0.0366392008011012,0.3514138797724697,JQ1|fold5
KU-55933,1,stacking,ridge,1.0,-0.2063471160770396,162,41,0.816355218720453,0.01624273537952809,0.23206518125934872,-0.006901563752001978,KU-55933|fold1
KU-55933,2,stacking,ridge,1.0,-0.4893439184871786,162,41,0.7939257374307936,0.033423776586655546,0.2882427197783176,0.0054512994786770665,KU-55933|fold2
KU-55933,3,stacking,ridge,1.0,-0.4869584036241523,162,41,0.6062699970503586,0.050684947821851116,0.4917485171593011,-0.034661260841211045,KU-55933|fold3
KU-55933,4,stacking,ridge,1.0,0.02182976275817783,163,40,0.6617091081288733,0.07410933898737976,0.3350734535047561,-0.08418962927925669,KU-55933|fold4
KU-55933,5,stacking,ridge,1.0,0.011334563508648365,163,40,0.817690861871897,-0.09123784948628035,0.3567190022717785,-0.09038632569797259,KU-55933|fold5
LENALIDOMIDE,1,stacking,ridge,1.0,-0.5806000472900559,162,41,0.47320633832616454,0.18456968593448395,0.21636683540049936,0.2730438356830779,LENALIDOMIDE|fold1
LENALIDOMIDE,2,stacking,ridge,1.0,-0.6692831966974211,162,41,0.3537590614625683,0.362180654213519,0.1418911636365709,0.30213228037057094,LENALIDOMIDE|fold2
LENALIDOMIDE,3,stacking,ridge,1.0,-0.7726080281433667,162,41,0.32721679583863206,0.11452655584042737,0.16174974697130598,0.5782400351881603,LENALIDOMIDE|fold3
LENALIDOMIDE,4,stacking,ridge,1.0,-0.3966794490759531,163,40,0.3882621087917794,0.13762660991583273,0.12373019154004158,0.4436969047079611,LENALIDOMIDE|fold4
LENALIDOMIDE,5,stacking,ridge,1.0,-0.7735243048076565,163,40,0.4199041810788945,0.17014036332827828,0.04924445948316529,0.5357253885150889,LENALIDOMIDE|fold5
LESTAURTINIB,1,stacking,ridge,1.0,0.09559945241138268,162,41,1.032337979568573,0.1780788822323588,0.0984527747335535,-0.29889361832494477,LESTAURTINIB|fold1
