drug,blend,meta,alpha,intercept,n,omics,weight
SN-38,stacking,ridge,1.0,-0.5959665588058609,203,cnv,-0.02367651109245794
TALAZOPARIB,stacking,ridge,1.0,1.206885314774891,203,cnv,-0.1641527175562626
TAMOXIFEN,stacking,ridge,1.0,-0.12704257169428468,203,cnv,0.09506953989937474
TANESPIMYCIN,stacking,ridge,1.0,0.045715456498324786,203,cnv,-0.03628142836977328
TEMOZOLOMIDE,stacking,ridge,1.0,-0.2702344808963444,203,cnv,0.13149268255637436
TRAMETINIB,stacking,ridge,1.0,0.05785071394767788,203,cnv,-0.300195773337467
VELIPARIB,stacking,ridge,1.0,0.11565736360663248,203,cnv,-0.16044481811994082
VISMODEGIB,stacking,ridge,1.0,0.11231802631179644,203,cnv,-0.37628142977836687
VORINOSTAT,stacking,ridge,1.0,-0.06715549344458593,203,cnv,0.09593972940523315
WEE1 INHIBITOR,stacking,ridge,1.0,-0.13283355968534383,203,cnv,0.024535669409254487
YK-4-279,stacking,ridge,1.0,-0.048166956472927014,203,cnv,0.010101027484201936
ZM447439,stacking,ridge,1.0,-0.28494388863158426,203,cnv,0.15455495303740138
AFATINIB,stacking,ridge,1.0,-0.032009812628983836,203,meth,-0.037490536918219075
AVAGACESTAT,stacking,ridge,1.0,-0.3169836678308444,203,meth,0.2847427067562308
AXITINIB,stacking,ridge,1.0,-0.4008654318564324,203,meth,0.4741614153058506
AZD4547,stacking,ridge,1.0,-0.380056095762654,203,meth,0.2892137499391004
AZD6738,stacking,ridge,1.0,-0.1670592975956129,203,meth,-0.24745454636297734
AZD7762,stacking,ridge,1.0,0.05977998121164729,203,meth,0.03568346890533806
AZD8186,stacking,ridge,1.0,-0.1776452583384147,203,meth,0.12612933192319165
BMS-536924,stacking,ridge,1.0,-0.8617750820864318,203,meth,0.1317378663689064
BOSUTINIB,stacking,ridge,1.0,-0.1906339206273755,203,meth,0.18043979288700218
CCT007093,stacking,ridge,1.0,-0.9201894887416566,203,meth,0.42754800265193404
DACTOLISIB,stacking,ridge,1.0,0.12860720267325165,203,meth,0.007344298006171399
DOCETAXEL,stacking,ridge,1.0,1.2214954918498226,203,meth,0.2668475998979786
DORAMAPIMOD,stacking,ridge,1.0,0.9363098920816695,203,meth,0.20749119001203267
EHT-1864,stacking,ridge,1.0,-0.130761447098374,203,meth,0.01343919610393905
FULVESTRANT,stacking,ridge,1.0,-0.11211436925888973,203,meth,0.060259038796947564
