drug,blend,meta,alpha,intercept,n,w_mrna,w_cnv,w_meth,w_mirna
PD173074,stacking,ridge,1.0,-0.3990703360581276,203,0.4236242126294612,0.13599617841111805,0.3303209280375819,0.24743123762380964
PEVONEDISTAT,stacking,ridge,1.0,0.0028125009175316573,203,0.6829745964707183,0.3888196280168261,-0.15218802314383195,0.1240716531582777
PFI-1,stacking,ridge,1.0,-0.13354868591777214,203,0.3939547165455697,0.260464991571328,0.26772591427324416,0.1308674864579752
PICTILISIB,stacking,ridge,1.0,0.1040237150667348,203,0.5562327189509036,0.09113256511023658,0.45059976326083906,-0.17911454279678837
PLX-4720,stacking,ridge,1.0,-0.7107694165498604,203,0.7440536762853008,0.3024682000174709,-0.06042950864555794,0.19885930628967718
REFAMETINIB,stacking,ridge,1.0,-0.20902710206229003,203,0.433503614560119,0.14081362623612242,0.23016104095745307,0.30990099514583236
RO-3306,stacking,ridge,1.0,-0.1795001160259968,203,0.6981926905008122,-0.1844456981353528,0.19362352079061187,0.3484282972044101
RUCAPARIB,stacking,ridge,1.0,-0.3378505567481138,203,0.5536426704416845,0.48661275702312734,0.12078084514001897,-0.06626819225592785
SB216763,stacking,ridge,1.0,-0.22389091510056147,203,0.6748205607617039,0.07722158111801482,0.16202203002741927,0.1330030532084725
SB590885,stacking,ridge,1.0,-0.25524584919996895,203,0.7426185968829232,-0.05807465530805986,0.13594490621372454,0.2446967559132755
SELUMETINIB,stacking,ridge,1.0,-0.34102156329087574,203,0.7032922143410196,0.01600219461730283,0.20057177983526528,0.1976835838151185
SERDEMETAN,stacking,ridge,1.0,-0.4931861413923837,203,0.4268230190561863,-0.0018057764704758064,0.1774596122337932,0.5596802191198751
SGC0946,stacking,ridge,1.0,-0.2161302346541336,203,0.7147119951071648,0.315439330850295,-0.005808264762005152,0.09976598475455371
SN-38,stacking,ridge,1.0,-0.8101343019615843,203,0.9397304994532688,-0.12652866853275382,0.30358221097917787,-0.3087571757782959
TALAZOPARIB,stacking,ridge,1.0,1.1993380867102093,203,0.545223200753534,-0.11884220656497829,0.5566334922773767,-0.7449319087944294
TAMOXIFEN,stacking,ridge,1.0,-0.17272227964250542,203,0.6672751174398194,0.1266498086279396,0.08744713771311452,0.1683527967323689
TANESPIMYCIN,stacking,ridge,1.0,0.05092534335575109,203,0.8053041855149079,-0.01736356252740038,0.05875357352990081,-0.17841398825361235
TEMOZOLOMIDE,stacking,ridge,1.0,-0.49878472440622446,203,0.49800320132824355,0.12170161952020435,0.4200966591361552,0.0496587961920023
TRAMETINIB,stacking,ridge,1.0,0.020263837413076136,203,0.7622324019337582,-0.1991592984700175,-0.04104103942038228,0.33724231760764245
VELIPARIB,stacking,ridge,1.0,0.20312709905197135,203,0.7583300553048211,-0.2616114997937464,0.31252906283658866,0.1420566545524996
