drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna,row_id
MIRIN,5,stacking,ridge,1.0,-0.07227788666299428,163,40,0.7549415577510128,0.3957004187662873,-0.33191071854226895,0.20111249151502764,MIRIN|fold5
MK-2206,1,stacking,ridge,1.0,-0.5204949836983632,162,41,0.15945878277071904,0.45955187807188047,0.20492699179145907,0.47157461270796885,MK-2206|fold1
MK-2206,2,stacking,ridge,1.0,-0.9953911133737225,162,41,0.23496012560331786,0.5435192027428996,0.0966475563140663,0.6474707223254095,MK-2206|fold2
MK-2206,3,stacking,ridge,1.0,-1.0362355346115735,162,41,0.3346673783314931,0.6352284320039007,-0.0894779037348028,0.6470056662800114,MK-2206|fold3
MK-2206,4,stacking,ridge,1.0,-0.4683497487579249,163,40,0.40572209328891934,0.41740025762655775,-0.1486458487109558,0.5928058713841677,MK-2206|fold4
MK-2206,5,stacking,ridge,1.0,-0.790757132030449,163,40,0.11194622065583139,0.486713611160453,0.11919305436194169,0.6840775339629213,MK-2206|fold5
MOTESANIB,1,stacking,ridge,1.0,-0.9405680620053336,162,41,0.4022287689603965,0.264247331813712,0.42674374899943834,0.14993818640727705,MOTESANIB|fold1
MOTESANIB,2,stacking,ridge,1.0,-1.433187941427533,162,41,0.5178118083635369,0.21869355553595135,0.4095624686706645,0.2258845174286975,MOTESANIB|fold2
MOTESANIB,3,stacking,ridge,1.0,-0.9329301221717436,162,41,0.4499356494378343,0.2854867750755614,0.1632684307834097,0.3372826803582189,MOTESANIB|fold3
MOTESANIB,4,stacking,ridge,1.0,-0.983792811650408,163,40,0.3825615160353986,0.23125254111258903,0.3425695659609868,0.28903918922044725,MOTESANIB|fold4
MOTESANIB,5,stacking,ridge,1.0,-0.7220153533418556,163,40,0.6860570001527372,0.09480673618524535,0.14047274383265235,0.2737459847029932,MOTESANIB|fold5
NAVITOCLAX,1,stacking,ridge,1.0,-0.007076262090616403,162,41,0.9679835412308876,0.2917270636463747,0.025817273562663143,-0.21448306873608727,NAVITOCLAX|fold1
NAVITOCLAX,2,stacking,ridge,1.0,0.12029817707417367,162,41,1.0158953738870657,0.3913564383003117,0.07400038098936977,-0.5652099760307221,NAVITOCLAX|fold2
NAVITOCLAX,3,stacking,ridge,1.0,-0.13816232897790848,162,41,0.8810642086603118,0.39075016986972383,0.10117653334924195,-0.26544858593204895,NAVITOCLAX|fold3
NAVITOCLAX,4,stacking,ridge,1.0,-0.07709601839681557,163,40,0.8671562591587488,0.45753426483470433,0.06417106873332103,-0.2682835273750036,NAVITOCLAX|fold4
NAVITOCLAX,5,stacking,ridge,1.0,0.10708409611403447,163,40,0.9442344865978883,0.31281347146154287,0.10963979382039157,-0.37510145568504644,NAVITOCLAX|fold5
NU7441,1,stacking,ridge,1.0,-0.5097368403566702,162,41,0.5219771380416452,0.21785813103614937,0.36065418365813784,0.11126405218258067,NU7441|fold1
NU7441,2,stacking,ridge,1.0,-0.48602012849804543,162,41,0.5021700426292108,0.26490872632733664,0.2443113355569765,0.18761471337110924,NU7441|fold2
NU7441,3,stacking,ridge,1.0,-0.49234347479876917,162,41,0.8831187229006766,0.21317874582803786,0.08728561483336328,0.010279584093918503,NU7441|fold3
NU7441,4,stacking,ridge,1.0,-0.5634568615366069,163,40,0.6335224317695459,0.25747476067587616,0.38228842838314486,-0.027901639636669962,NU7441|fold4
NU7441,5,stacking,ridge,1.0,-0.47729565268792573,163,40,0.5924978891109146,0.1974071116514654,0.33446016304201875,0.06770870255399768,NU7441|fold5
NUTLIN-3A (-),1,stacking,ridge,1.0,0.005950057489985561,162,41,0.8336830083569925,0.3019175986353215,0.2289589224574195,-0.3621914989460767,NUTLIN-3A (-)|fold1
NUTLIN-3A (-),2,stacking,ridge,1.0,0.2866588677878106,162,41,0.8052928577224218,0.25396566409025906,0.2494042805765752,-0.3730377512094242,NUTLIN-3A (-)|fold2
NUTLIN-3A (-),3,stacking,ridge,1.0,-0.4011055202965914,162,41,0.5971864283987279,0.3673838543062326,0.378889717694201,-0.2578935215448779,NUTLIN-3A (-)|fold3
NUTLIN-3A (-),4,stacking,ridge,1.0,0.04393671441251579,163,40,0.9124941647846384,0.2600724470036797,0.14500606586943307,-0.3329082900126222,NUTLIN-3A (-)|fold4
NUTLIN-3A (-),5,stacking,ridge,1.0,0.3901285032527979,163,40,0.8187700005306594,0.23090299460657177,0.2581037202188964,-0.3884302286482556,NUTLIN-3A (-)|fold5
OLAPARIB,1,stacking,ridge,1.0,-0.7681279714076266,162,41,0.33668395277350643,0.30221395202874257,0.5478355198615474,0.045837388471875025,OLAPARIB|fold1
OLAPARIB,2,stacking,ridge,1.0,0.026979319785897182,162,41,0.5397975488480774,0.2051725347566762,0.6218065491644967,-0.3863612543727919,OLAPARIB|fold2
