drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
METHOTREXATE,2,stacking,ridge,1.0,0.15880970103145908,162,41,mrna,0.23047667127197466
METHOTREXATE,3,stacking,ridge,1.0,0.1658959281467226,162,41,mrna,0.31785685299685074
METHOTREXATE,4,stacking,ridge,1.0,0.11758702649023223,163,40,mrna,0.3774685859343073
METHOTREXATE,5,stacking,ridge,1.0,0.11160175245198911,163,40,mrna,0.28800167585257264
MIRIN,1,stacking,ridge,1.0,-0.08709761176065367,162,41,mrna,0.6806924163080055
MIRIN,2,stacking,ridge,1.0,-0.01720847393254754,162,41,mrna,0.563806342595137
MIRIN,3,stacking,ridge,1.0,-0.8133261553291478,162,41,mrna,0.6306511320498605
MIRIN,4,stacking,ridge,1.0,-0.4723788263085247,163,40,mrna,0.5255829259454077
MIRIN,5,stacking,ridge,1.0,-0.07227788666299428,163,40,mrna,0.7549415577510128
MK-2206,1,stacking,ridge,1.0,-0.5204949836983632,162,41,mrna,0.15945878277071904
MK-2206,2,stacking,ridge,1.0,-0.9953911133737225,162,41,mrna,0.23496012560331786
MK-2206,3,stacking,ridge,1.0,-1.0362355346115735,162,41,mrna,0.3346673783314931
MK-2206,4,stacking,ridge,1.0,-0.4683497487579249,163,40,mrna,0.40572209328891934
MK-2206,5,stacking,ridge,1.0,-0.790757132030449,163,40,mrna,0.11194622065583139
MOTESANIB,1,stacking,ridge,1.0,-0.9405680620053336,162,41,mrna,0.4022287689603965
MOTESANIB,2,stacking,ridge,1.0,-1.433187941427533,162,41,mrna,0.5178118083635369
MOTESANIB,3,stacking,ridge,1.0,-0.9329301221717436,162,41,mrna,0.4499356494378343
MOTESANIB,4,stacking,ridge,1.0,-0.983792811650408,163,40,mrna,0.3825615160353986
MOTESANIB,5,stacking,ridge,1.0,-0.7220153533418556,163,40,mrna,0.6860570001527372
NAVITOCLAX,1,stacking,ridge,1.0,-0.007076262090616403,162,41,mrna,0.9679835412308876
NAVITOCLAX,2,stacking,ridge,1.0,0.12029817707417367,162,41,mrna,1.0158953738870657
NAVITOCLAX,3,stacking,ridge,1.0,-0.13816232897790848,162,41,mrna,0.8810642086603118
NAVITOCLAX,4,stacking,ridge,1.0,-0.07709601839681557,163,40,mrna,0.8671562591587488
NAVITOCLAX,5,stacking,ridge,1.0,0.10708409611403447,163,40,mrna,0.9442344865978883
NU7441,1,stacking,ridge,1.0,-0.5097368403566702,162,41,mrna,0.5219771380416452
NU7441,2,stacking,ridge,1.0,-0.48602012849804543,162,41,mrna,0.5021700426292108
NU7441,3,stacking,ridge,1.0,-0.49234347479876917,162,41,mrna,0.8831187229006766
NU7441,4,stacking,ridge,1.0,-0.5634568615366069,163,40,mrna,0.6335224317695459
NU7441,5,stacking,ridge,1.0,-0.47729565268792573,163,40,mrna,0.5924978891109146
NUTLIN-3A (-),1,stacking,ridge,1.0,0.005950057489985561,162,41,mrna,0.8336830083569925
NUTLIN-3A (-),2,stacking,ridge,1.0,0.2866588677878106,162,41,mrna,0.8052928577224218
NUTLIN-3A (-),3,stacking,ridge,1.0,-0.4011055202965914,162,41,mrna,0.5971864283987279
NUTLIN-3A (-),4,stacking,ridge,1.0,0.04393671441251579,163,40,mrna,0.9124941647846384
NUTLIN-3A (-),5,stacking,ridge,1.0,0.3901285032527979,163,40,mrna,0.8187700005306594
OLAPARIB,1,stacking,ridge,1.0,-0.7681279714076266,162,41,mrna,0.33668395277350643
OLAPARIB,2,stacking,ridge,1.0,0.026979319785897182,162,41,mrna,0.5397975488480774
OLAPARIB,3,stacking,ridge,1.0,-0.4363930870976085,162,41,mrna,0.25180537058951125
OLAPARIB,4,stacking,ridge,1.0,-0.7562970645771507,163,40,mrna,0.2921032146254263
