drug,molecule_type_x,mechanism_of_action_list,action_type_list,indication_class_x,max_phase_x,oral_x,black_box_warning_x,first_approval_x,full_mwt_x,alogp_x,psa_x,hba_x,hbd_x,rtb_x,aromatic_rings_x,heavy_atoms_x,qed_weighted_x,best_pchembl,median_pchembl,best_standard_value,ac50_best_pchembl,ec50_best_pchembl,ic50_best_pchembl,kd_best_pchembl,ki_best_pchembl,molecule_type_y,indication_class_y,max_phase_y,oral_y,black_box_warning_y,first_approval_y,full_mwt_y,alogp_y,psa_y,hba_y,hbd_y,rtb_y,aromatic_rings_y,heavy_atoms_y,qed_weighted_y,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,direct_interaction_mean,disease_efficacy_mean,molecular_mechanism_mean,pchembl_mean,pchembl_median,pchembl_std,targets_n_unique_target_chembl_id,targets_n_unique_pref_name
DACTOLISIB,Small molecule,PI3-kinase class I inhibitor | Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,,3.0,0.0,0.0,,469.55,5.89,76.5,6.0,0.0,3.0,6.0,36.0,0.32,9.5,7.1,0.3147,,7.82,9.5,,7.5,Small molecule,,3.0,0.0,0.0,,469.55,5.89,76.5,6.0,0.0,3.0,6.0,36.0,0.32,469.5,5.2,73.1,0.0,4.0,3.0,872.0,1.0,1.0,1.0,7.03144801980198,7.1,0.7630989173375068,597.0,597.0
DOCETAXEL,Small molecule,Tubulin inhibitor,INHIBITOR,,4.0,0.0,1.0,1995.0,861.94,3.26,224.45,14.0,5.0,8.0,2.0,58.0,0.15,10.0,8.36,0.1,,,10.0,9.09,6.28,Small molecule,,4.0,0.0,1.0,1995.0,861.94,3.26,224.45,14.0,5.0,8.0,2.0,58.0,0.15,807.9,1.6,224.0,5.0,14.0,13.0,1660.0,1.0,1.0,1.0,8.183115646258504,8.36,0.9682545358947443,594.0,594.0
DORAMAPIMOD,Small molecule,MAP kinase p38 alpha inhibitor,INHIBITOR,,2.0,0.0,0.0,,527.67,5.99,80.65,6.0,2.0,7.0,4.0,39.0,0.31,10.34,5.895,0.046,,7.75,10.0,10.34,10.01,Small molecule,,2.0,0.0,0.0,,527.67,5.99,80.65,6.0,2.0,7.0,4.0,39.0,0.31,527.7,5.7,80.7,2.0,5.0,8.0,777.0,1.0,1.0,1.0,6.051777777777777,5.895,1.3804461511926096,197.0,197.0
EHT-1864,Small molecule,,,,,0.0,0.0,,581.48,5.38,64.8,7.0,0.0,10.0,3.0,35.0,0.27,5.0,5.0,10000.0,,,5.0,,,Small molecule,,,0.0,0.0,,581.48,5.38,64.8,7.0,0.0,10.0,3.0,35.0,0.27,581.5,,86.2,2.0,10.0,10.0,770.0,,,,5.0,5.0,,1.0,1.0
FULVESTRANT,Small molecule,Estrogen receptor alpha antagonist | Estrogen receptor degrader,ANTAGONIST | DEGRADER,,4.0,0.0,0.0,2002.0,606.78,8.68,63.52,3.0,2.0,14.0,1.0,41.0,0.13,10.22,8.42,0.06,6.71,9.7,10.22,8.33,9.22,Small molecule,,4.0,0.0,0.0,2002.0,606.78,8.68,63.52,3.0,2.0,14.0,1.0,41.0,0.13,606.8,9.2,76.7,2.0,9.0,14.0,854.0,1.0,1.0,1.0,8.096923076923076,8.42,1.3202765263764995,14.0,13.0
GEFITINIB,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,,4.0,1.0,0.0,2003.0,446.91,4.28,68.74,7.0,1.0,8.0,3.0,31.0,0.52,10.0,5.5,0.1,8.42,8.0,10.0,9.28,9.4,Small molecule,,4.0,1.0,0.0,2003.0,446.91,4.28,68.74,7.0,1.0,8.0,3.0,31.0,0.52,446.9,4.1,68.7,1.0,8.0,8.0,545.0,1.0,1.0,1.0,5.8663029100529105,5.5,1.289227122724706,705.0,705.0
GEMCITABINE,Small molecule,,,,4.0,0.0,0.0,1996.0,263.2,-1.29,110.6,7.0,3.0,2.0,1.0,18.0,0.61,10.98,6.91,0.01042,4.96,10.52,10.98,,,Small molecule,,4.0,0.0,0.0,1996.0,263.2,-1.29,110.6,7.0,3.0,2.0,1.0,18.0,0.61,263.2,-1.5,108.0,3.0,6.0,2.0,426.0,,,,6.9108855291576665,6.91,1.5113551727617212,673.0,673.0
GW441756,,,,,,0.0,0.0,,275.31,3.07,46.92,3.0,1.0,1.0,3.0,21.0,0.69,6.27,6.27,536.0,,,6.27,,,,,,0.0,0.0,,275.31,3.07,46.92,3.0,1.0,1.0,3.0,21.0,0.69,311.8,,46.9,2.0,2.0,1.0,461.0,,,,6.27,6.27,,1.0,1.0
JQ1,Small molecule,,,,,0.0,0.0,,457.0,5.53,69.37,7.0,0.0,3.0,3.0,31.0,0.49,7.54,7.11,29.0,,,7.54,7.31,,Small molecule,,,0.0,0.0,,457.0,5.53,69.37,7.0,0.0,3.0,3.0,31.0,0.49,457.0,4.9,97.6,0.0,6.0,5.0,706.0,,,,6.8047619047619055,7.11,0.7895734231065471,5.0,5.0
KU-55933,Small molecule,,,,,0.0,0.0,,395.51,4.76,42.68,6.0,0.0,2.0,3.0,27.0,0.49,8.66,4.42,2.2,,,7.89,,8.66,Small molecule,,,0.0,0.0,,395.51,4.76,42.68,6.0,0.0,2.0,3.0,27.0,0.49,395.5,3.9,89.4,0.0,6.0,2.0,643.0,,,,4.63911111111111,4.42,0.808450961004566,210.0,210.0
LENALIDOMIDE,Small molecule,CRL4(CRBN) E3 ubiquitin ligase inhibitor,INHIBITOR,,4.0,1.0,1.0,2005.0,259.26,0.03,92.5,4.0,2.0,1.0,1.0,19.0,0.55,7.3,4.45,50.0,,7.17,7.3,6.77,6.1,Small molecule,,4.0,1.0,1.0,2005.0,259.26,0.03,92.5,4.0,2.0,1.0,1.0,19.0,0.55,259.26,-0.5,92.5,2.0,4.0,1.0,437.0,1.0,1.0,1.0,4.761635220125787,4.45,0.8567984817011306,142.0,142.0
LESTAURTINIB,Small molecule,NT-3 growth factor receptor inhibitor | Nerve growth factor receptor Trk-A inhibitor | Neurotrophic tyrosine kinase receptor type 2 inhibitor | Tyrosine-protein kinase JAK2 inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR,,3.0,0.0,0.0,,439.47,3.47,88.65,6.0,3.0,1.0,5.0,33.0,0.37,9.48,6.51,0.3337,,,9.48,9.41,,Small molecule,,3.0,0.0,0.0,,439.47,3.47,88.65,6.0,3.0,1.0,5.0,33.0,0.37,439.5,2.2,88.7,3.0,4.0,1.0,886.0,1.0,1.0,1.0,6.63445530726257,6.51,1.0301339444430642,919.0,919.0
METHOTREXATE,Small molecule,Dihydrofolate reductase inhibitor,INHIBITOR,,4.0,1.0,1.0,1953.0,454.45,0.27,210.54,10.0,5.0,9.0,3.0,33.0,0.29,11.0,6.25,0.01,,8.35,9.22,7.62,11.0,Small molecule,,4.0,1.0,1.0,1953.0,454.45,0.27,210.54,10.0,5.0,9.0,3.0,33.0,0.29,454.4,-1.8,211.0,5.0,12.0,9.0,704.0,1.0,1.0,1.0,6.372556634304208,6.25,1.256058768270214,595.0,595.0
MIRIN,Small molecule,,,,,0.0,0.0,,220.25,1.53,73.18,4.0,3.0,1.0,1.0,15.0,0.63,4.92,4.55,12000.0,,,4.92,,,Small molecule,,,0.0,0.0,,220.25,1.53,73.18,4.0,3.0,1.0,1.0,15.0,0.63,220.25,1.5,101.0,2.0,3.0,1.0,330.0,,,,4.55,4.55,0.5232590180780453,1.0,1.0
MK-2206,Small molecule,Serine/threonine-protein kinase AKT inhibitor,INHIBITOR,,2.0,0.0,0.0,,407.48,4.24,89.07,5.0,2.0,3.0,5.0,31.0,0.47,8.3,5.03,5.0,,7.2,8.3,7.96,,Small molecule,,2.0,0.0,0.0,,407.48,4.24,89.07,5.0,2.0,3.0,5.0,31.0,0.47,407.5,3.0,83.6,2.0,4.0,3.0,760.0,1.0,1.0,1.0,5.205573440643863,5.03,0.8679660382104399,447.0,447.0
MOTESANIB,Small molecule,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,INHIBITOR,,3.0,0.0,0.0,,373.46,4.04,78.94,5.0,3.0,5.0,3.0,28.0,0.63,9.03,4.73,0.9439,,,9.03,9.0,8.52,Small molecule,,3.0,0.0,0.0,,373.46,4.04,78.94,5.0,3.0,5.0,3.0,28.0,0.63,373.5,3.9,78.9,3.0,5.0,5.0,533.0,1.0,1.0,1.0,5.184847250509166,4.73,1.2418063403059503,395.0,395.0
NAVITOCLAX,Small molecule,Apoptosis regulator Bcl-2 inhibitor | Apoptosis regulator Bcl-W inhibitor | Apoptosis regulator Bcl-X inhibitor,INHIBITOR,,3.0,0.0,0.0,,974.63,8.83,128.36,11.0,2.0,16.0,4.0,65.0,0.1,10.36,5.17,0.044,,7.96,8.7,9.19,10.36,Small molecule,,3.0,0.0,0.0,,974.63,8.83,128.36,11.0,2.0,16.0,4.0,65.0,0.1,974.6,9.6,170.0,2.0,14.0,16.0,1800.0,1.0,1.0,1.0,5.46046904315197,5.17,1.1860817076318855,484.0,484.0
NU7441,,,,,,0.0,0.0,,413.5,5.66,42.68,5.0,0.0,2.0,5.0,30.0,0.37,6.0,6.0,1000.0,,,6.0,,,,,,0.0,0.0,,413.5,5.66,42.68,5.0,0.0,2.0,5.0,30.0,0.37,413.5,5.5,67.0,0.0,5.0,2.0,690.0,,,,6.0,6.0,,1.0,1.0
NUTLIN-3A (-),Small molecule,,,,,0.0,0.0,,581.5,5.89,83.47,5.0,1.0,6.0,3.0,40.0,0.39,8.46,5.18,3.5,,5.38,8.46,7.7,8.19,Small molecule,,,0.0,0.0,,581.5,5.89,83.47,5.0,1.0,6.0,3.0,40.0,0.39,581.5,5.2,83.5,1.0,5.0,6.0,919.0,,,,5.3635388739946395,5.18,1.027948851137372,241.0,241.0
OLAPARIB,Small molecule,"PARP 1, 2 and 3 inhibitor",INHIBITOR,,4.0,1.0,0.0,2014.0,434.47,2.35,86.37,4.0,1.0,4.0,3.0,32.0,0.68,10.0,5.22,0.1,4.92,9.4,10.0,9.62,9.1,Small molecule,,4.0,1.0,0.0,2014.0,434.47,2.35,86.37,4.0,1.0,4.0,3.0,32.0,0.68,434.5,1.9,82.1,1.0,5.0,4.0,790.0,1.0,1.0,1.0,5.898944881889764,5.22,1.69524962245864,296.0,296.0
PALBOCICLIB,Small molecule,CDK6/cyclin D1 inhibitor | Cyclin-dependent kinase 4/cyclin D1 inhibitor,INHIBITOR,,4.0,1.0,0.0,2015.0,447.54,2.97,105.04,9.0,2.0,5.0,3.0,33.0,0.58,9.7,5.5,0.2,5.96,6.52,9.37,8.22,9.7,Small molecule,,4.0,1.0,0.0,2015.0,447.54,2.97,105.04,9.0,2.0,5.0,3.0,33.0,0.58,447.5,1.8,103.0,2.0,8.0,5.0,775.0,1.0,1.0,1.0,5.735415549597855,5.5,1.1684730592418435,549.0,549.0
PD0325901,Small molecule,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor | Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,,2.0,0.0,0.0,,482.2,2.47,90.82,5.0,4.0,7.0,2.0,26.0,0.36,9.48,6.01,0.33,,,9.48,9.4,,Small molecule,,2.0,0.0,0.0,,482.2,2.47,90.82,5.0,4.0,7.0,2.0,26.0,0.36,482.19,3.0,90.8,4.0,8.0,7.0,465.0,1.0,1.0,1.0,6.102689075630252,6.01,1.0515767362011745,561.0,561.0
PD173074,Small molecule,,,,,0.0,0.0,,523.68,5.16,113.53,8.0,3.0,12.0,3.0,38.0,0.28,8.3,4.605,5.0,,7.68,8.3,,7.44,Small molecule,,,0.0,0.0,,523.68,5.16,113.53,8.0,3.0,12.0,3.0,38.0,0.28,523.7,4.5,114.0,3.0,8.0,13.0,690.0,,,,4.917407407407407,4.605,0.9358328809456543,355.0,355.0
PEVONEDISTAT,Small molecule,NEDD8 activating enzyme inhibitor,INHIBITOR,,3.0,0.0,0.0,,443.53,2.06,132.36,8.0,3.0,6.0,3.0,31.0,0.53,9.59,6.52,0.26,,7.52,9.59,,,Small molecule,,3.0,0.0,0.0,,443.53,2.06,132.36,8.0,3.0,6.0,3.0,31.0,0.53,443.5,1.7,141.0,3.0,8.0,6.0,734.0,1.0,1.0,1.0,6.6548936170212745,6.52,1.0806979876961675,33.0,33.0
PFI-1,Unknown,,,,,0.0,0.0,,535.99,3.0,78.51,4.0,2.0,6.0,2.0,34.0,0.6,8.7,5.89,2.0,,,8.7,8.38,5.89,Unknown,,,0.0,0.0,,535.99,3.0,78.51,4.0,2.0,6.0,2.0,34.0,0.6,347.4,1.2,96.1,2.0,5.0,4.0,562.0,,,,6.6242857142857146,5.89,1.59190511801486,5.0,5.0
PICTILISIB,Small molecule,PI3-kinase class I inhibitor,INHIBITOR,,2.0,0.0,0.0,,513.65,2.15,107.55,9.0,1.0,5.0,4.0,35.0,0.43,10.0,5.58,0.1,,6.47,10.0,9.12,8.85,Small molecule,,2.0,0.0,0.0,,513.65,2.15,107.55,9.0,1.0,5.0,4.0,35.0,0.43,513.6,1.6,144.0,1.0,10.0,5.0,831.0,1.0,1.0,1.0,5.8185160427807485,5.58,1.1975169830844787,549.0,549.0
PLX-4720,Small molecule,,,,,0.0,0.0,,413.83,3.88,91.92,4.0,2.0,6.0,3.0,27.0,0.6,9.8,5.03,0.16,,,8.19,9.8,8.59,Small molecule,,,0.0,0.0,,413.83,3.88,91.92,4.0,2.0,6.0,3.0,27.0,0.6,413.8,3.3,100.0,2.0,7.0,6.0,648.0,,,,5.251237373737373,5.03,1.0078701615279628,328.0,328.0
REFAMETINIB,Small molecule,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor | Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,,2.0,0.0,0.0,,572.34,3.48,107.89,6.0,4.0,9.0,2.0,31.0,0.34,7.72,6.75,19.0,,,7.72,7.44,,Small molecule,,2.0,0.0,0.0,,572.34,3.48,107.89,6.0,4.0,9.0,2.0,31.0,0.34,572.3,2.8,116.0,4.0,10.0,9.0,711.0,1.0,1.0,1.0,6.544444444444444,6.75,0.9614066661812668,7.0,7.0
RO-3306,,,,,,0.0,0.0,,351.46,4.06,54.35,5.0,1.0,3.0,3.0,24.0,0.72,,,,,,,,,,,,0.0,0.0,,351.46,4.06,54.35,5.0,1.0,3.0,3.0,24.0,0.72,351.4,4.0,108.0,1.0,5.0,3.0,548.0,,,,,,,,
RUCAPARIB,Small molecule,"PARP 1, 2 and 3 inhibitor",INHIBITOR,,4.0,1.0,0.0,2016.0,323.37,2.98,56.92,2.0,3.0,3.0,3.0,24.0,0.69,9.4,4.720000000000001,0.4,5.0,8.33,9.4,8.49,9.15,Small molecule,,4.0,1.0,0.0,2016.0,323.37,2.98,56.92,2.0,3.0,3.0,3.0,24.0,0.69,323.4,2.5,56.9,3.0,3.0,3.0,466.0,1.0,1.0,1.0,5.289338235294117,4.720000000000001,1.4401645767640308,328.0,328.0
SB216763,Small molecule,,,,,0.0,0.0,,371.22,4.05,51.1,3.0,1.0,2.0,3.0,25.0,0.69,8.15,4.51,7.0,5.6,6.7,8.15,,,Small molecule,,,0.0,0.0,,371.22,4.05,51.1,3.0,1.0,2.0,3.0,25.0,0.69,371.2,3.9,51.1,1.0,2.0,2.0,621.0,,,,4.975243243243244,4.51,1.177251806331663,162.0,162.0
SB590885,Small molecule,,,,,0.0,0.0,,453.55,4.87,86.63,6.0,2.0,7.0,4.0,34.0,0.31,9.8,4.945,0.16,,7.55,9.8,9.8,9.8,Small molecule,,,0.0,0.0,,453.55,4.87,86.63,6.0,2.0,7.0,4.0,34.0,0.31,453.5,4.0,86.6,2.0,6.0,7.0,674.0,,,,5.3939455782312935,4.945,1.35530310090462,213.0,213.0
SELUMETINIB,Small molecule,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor | Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,INHIBITOR,,4.0,1.0,0.0,2020.0,457.69,3.53,88.41,6.0,3.0,6.0,3.0,27.0,0.39,8.5,5.05,3.153,,,8.5,7.39,,Small molecule,,4.0,1.0,0.0,2020.0,457.69,3.53,88.41,6.0,3.0,6.0,3.0,27.0,0.39,457.7,3.6,88.4,3.0,6.0,6.0,523.0,1.0,1.0,1.0,5.259159482758621,5.05,0.9254493651335451,426.0,426.0
SERDEMETAN,Small molecule,,,,2.0,0.0,0.0,,328.42,4.96,52.74,3.0,3.0,6.0,4.0,25.0,0.47,6.03,4.82,932.36,,,6.03,,,Small molecule,,2.0,0.0,0.0,,328.42,4.96,52.74,3.0,3.0,6.0,4.0,25.0,0.47,328.4,4.6,52.7,3.0,3.0,6.0,387.0,,,,4.800480549199086,4.82,0.3832651820025888,437.0,437.0
SGC0946,,,,,,0.0,0.0,,655.04,3.61,150.79,9.0,5.0,9.0,3.0,40.0,0.23,,,,,,,,,,,,0.0,0.0,,655.04,3.61,150.79,9.0,5.0,9.0,3.0,40.0,0.23,618.6,3.0,151.0,5.0,8.0,10.0,825.0,,,,,,,,
SN-38,Small molecule,DNA topoisomerase I inhibitor,INHIBITOR,,2.0,0.0,0.0,,392.41,2.35,101.65,7.0,2.0,2.0,3.0,29.0,0.51,10.0,7.285,0.1,,7.16,10.0,,4.58,Small molecule,,2.0,0.0,0.0,,392.41,2.35,101.65,7.0,2.0,2.0,3.0,29.0,0.51,392.4,1.4,100.0,2.0,6.0,2.0,820.0,1.0,1.0,1.0,7.218103448275862,7.285,1.0719262740652848,39.0,39.0
TALAZOPARIB,Small molecule,Poly [ADP-ribose] polymerase 2 inhibitor | Poly [ADP-ribose] polymerase-1 inhibitor,INHIBITOR,,4.0,1.0,0.0,2018.0,380.36,2.63,88.49,6.0,2.0,2.0,4.0,28.0,0.56,10.92,8.74,0.012,,9.52,10.92,9.22,9.24,Small molecule,,4.0,1.0,0.0,2018.0,380.36,2.63,88.49,6.0,2.0,2.0,4.0,28.0,0.56,380.4,2.3,84.2,2.0,7.0,2.0,654.0,1.0,1.0,1.0,8.36462686567164,8.74,1.1706425694155778,21.0,21.0
TAMOXIFEN,Small molecule,,,,4.0,1.0,1.0,1977.0,371.52,6.0,12.47,2.0,0.0,8.0,3.0,28.0,0.45,9.96,5.07,0.11,7.04,9.96,8.82,9.0,9.29,Small molecule,,4.0,1.0,1.0,1977.0,371.52,6.0,12.47,2.0,0.0,8.0,3.0,28.0,0.45,371.5,7.1,12.5,0.0,2.0,8.0,463.0,,,,5.425668202764976,5.07,0.9676199416868749,98.0,97.0
TANESPIMYCIN,Small molecule,Heat shock protein HSP90 inhibitor,INHIBITOR,,3.0,0.0,0.0,,585.7,2.54,166.28,9.0,4.0,6.0,0.0,42.0,0.27,10.0,6.5,0.1,5.51,7.92,10.0,8.14,8.34,Small molecule,,3.0,0.0,0.0,,585.7,2.54,166.28,9.0,4.0,6.0,0.0,42.0,0.27,585.7,2.6,166.0,4.0,9.0,7.0,1210.0,1.0,1.0,1.0,6.368095238095237,6.5,0.9864219416903387,597.0,597.0
TEMOZOLOMIDE,Small molecule,DNA inhibitor,INHIBITOR,,4.0,1.0,1.0,1999.0,194.15,-2.08,108.17,7.0,1.0,1.0,2.0,14.0,0.56,5.36,4.44,4340.0,,,5.36,,,Small molecule,,4.0,1.0,1.0,1999.0,194.15,-2.08,108.17,7.0,1.0,1.0,2.0,14.0,0.56,194.15,-1.1,106.0,1.0,5.0,1.0,315.0,1.0,1.0,1.0,4.661578947368421,4.44,0.4103963281985238,13.0,13.0
TRAMETINIB,Small molecule,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,INHIBITOR,,4.0,0.0,0.0,2013.0,615.4,3.94,107.13,8.0,2.0,5.0,4.0,37.0,0.33,9.32,8.24,0.48,,6.61,9.32,8.05,,Small molecule,,4.0,0.0,0.0,2013.0,615.4,3.94,107.13,8.0,2.0,5.0,4.0,37.0,0.33,615.4,3.4,102.0,2.0,6.0,5.0,1090.0,1.0,1.0,1.0,7.747735849056603,8.24,1.37248601157147,11.0,11.0
VELIPARIB,Small molecule,"PARP 1, 2 and 3 inhibitor",INHIBITOR,,3.0,0.0,0.0,,244.3,1.26,83.8,3.0,3.0,2.0,2.0,18.0,0.74,10.21,4.54,0.061,,8.7,10.21,8.77,8.54,Small molecule,,3.0,0.0,0.0,,244.3,1.26,83.8,3.0,3.0,2.0,2.0,18.0,0.74,244.29,0.5,83.8,3.0,3.0,2.0,348.0,1.0,1.0,1.0,5.323973799126637,4.54,1.594872105969072,163.0,163.0
VISMODEGIB,Small molecule,Smoothened homolog inhibitor,INHIBITOR,,4.0,1.0,1.0,2012.0,421.31,4.71,76.13,4.0,1.0,4.0,3.0,27.0,0.66,9.4,4.36,0.4,5.57,8.7,9.4,7.01,7.91,Small molecule,,4.0,1.0,1.0,2012.0,421.31,4.71,76.13,4.0,1.0,4.0,3.0,27.0,0.66,421.3,3.8,84.5,1.0,4.0,4.0,625.0,1.0,1.0,1.0,4.866621621621621,4.36,1.2007999340881876,129.0,129.0
VORINOSTAT,Small molecule,Histone deacetylase 1 inhibitor | Histone deacetylase 2 inhibitor | Histone deacetylase 3 inhibitor | Histone deacetylase 6 inhibitor,INHIBITOR,,4.0,1.0,0.0,2006.0,264.32,2.47,78.43,3.0,3.0,8.0,1.0,19.0,0.38,9.68,6.16,0.21,5.51,8.0,9.68,7.4,9.0,Small molecule,,4.0,1.0,0.0,2006.0,264.32,2.47,78.43,3.0,3.0,8.0,1.0,19.0,0.38,264.32,1.9,78.4,3.0,3.0,8.0,276.0,1.0,1.0,1.0,6.2931057667442465,6.16,0.9570791863773558,696.0,696.0
WEE1 INHIBITOR,,,,,,0.0,0.0,,541.0,-0.15,191.0,7.0,6.0,14.0,1.0,37.0,0.18,,,,,,,,,,,,0.0,0.0,,541.0,-0.15,191.0,7.0,6.0,14.0,1.0,37.0,0.18,418.9,5.2,71.3,2.0,3.0,4.0,687.0,,,,,,,,
