source,native,name,p_value,significant,term_size,query_size,intersection_size,intersection_genes
GO:MF,GO:0004937,alpha1-adrenergic receptor activity,1.0,False,2,313,2,
GO:MF,GO:0004939,beta-adrenergic receptor activity,1.0,False,3,313,3,
GO:MF,GO:0004983,neuropeptide Y receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004940,beta1-adrenergic receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004941,beta2-adrenergic receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004947,bradykinin receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004949,cannabinoid receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004951,cholecystokinin receptor activity,1.0,False,2,313,2,
GO:MF,GO:0004952,dopamine neurotransmitter receptor activity,1.0,False,4,313,4,
GO:MF,GO:0004953,icosanoid receptor activity,1.0,False,2,313,1,
GO:MF,GO:0004954,prostanoid receptor activity,1.0,False,2,313,1,
GO:MF,GO:0004960,thromboxane receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004961,thromboxane A2 receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004969,histamine receptor activity,1.0,False,3,313,3,
GO:MF,GO:0004977,melanocortin receptor activity,1.0,False,4,313,4,
GO:MF,GO:0004979,beta-endorphin receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004938,alpha2-adrenergic receptor activity,1.0,False,3,313,2,
GO:MF,GO:0008289,lipid binding,1.0,False,32,313,17,
GO:MF,GO:0004985,G protein-coupled opioid receptor activity,1.0,False,4,313,4,
GO:MF,GO:0004993,G protein-coupled serotonin receptor activity,1.0,False,13,313,12,
GO:MF,GO:0004995,tachykinin receptor activity,1.0,False,2,313,2,
GO:MF,GO:0005003,ephrin receptor activity,1.0,False,14,313,9,
GO:MF,GO:0005004,GPI-linked ephrin receptor activity,1.0,False,6,313,4,
GO:MF,GO:0005005,transmembrane-ephrin receptor activity,1.0,False,10,313,6,
GO:MF,GO:0005006,epidermal growth factor receptor activity,1.0,False,2,313,2,
GO:MF,GO:0005007,fibroblast growth factor receptor activity,1.0,False,4,313,3,
GO:MF,GO:0005008,hepatocyte growth factor receptor activity,1.0,False,1,313,1,
GO:MF,GO:0005009,insulin receptor activity,1.0,False,3,313,2,
GO:MF,GO:0005010,insulin-like growth factor receptor activity,1.0,False,1,313,1,
GO:MF,GO:0005011,macrophage colony-stimulating factor receptor activity,1.0,False,2,313,2,
GO:MF,GO:0005017,platelet-derived growth factor receptor activity,1.0,False,2,313,2,
GO:MF,GO:0005018,platelet-derived growth factor alpha-receptor activity,1.0,False,1,313,1,
GO:MF,GO:0005019,platelet-derived growth factor beta-receptor activity,1.0,False,1,313,1,
GO:MF,GO:0005020,stem cell factor receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004980,melanocyte-stimulating hormone receptor activity,1.0,False,2,313,2,
GO:MF,GO:0005024,transforming growth factor beta receptor activity,1.0,False,7,313,2,
GO:MF,GO:0005025,"transforming growth factor beta receptor activity, type I",1.0,False,5,313,2,
GO:MF,GO:0005030,neurotrophin receptor activity,1.0,False,3,313,1,
GO:MF,GO:0005078,MAP-kinase scaffold activity,1.0,False,2,313,2,
GO:MF,GO:0005080,protein kinase C binding,1.0,False,11,313,4,
GO:MF,GO:0005085,guanyl-nucleotide exchange factor activity,1.0,False,4,313,3,
GO:MF,GO:0005095,GTPase inhibitor activity,1.0,False,1,313,1,
GO:MF,GO:0005096,GTPase activator activity,1.0,False,4,313,4,
GO:MF,GO:0005102,signaling receptor binding,1.0,False,88,313,52,IDA
GO:MF,GO:0005112,Notch binding,1.0,False,1,313,1,IDA
GO:MF,GO:0005123,death receptor binding,1.0,False,1,313,1,
GO:MF,GO:0005124,scavenger receptor binding,1.0,False,1,313,1,
GO:MF,GO:0005126,cytokine receptor binding,1.0,False,14,313,7,
GO:MF,GO:0005131,growth hormone receptor binding,1.0,False,4,313,4,
GO:MF,GO:0005143,interleukin-12 receptor binding,1.0,False,1,313,1,
GO:MF,GO:0004992,platelet activating factor receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004721,phosphoprotein phosphatase activity,1.0,False,7,313,6,
GO:MF,GO:0005149,interleukin-1 receptor binding,1.0,False,2,313,1,
GO:MF,GO:0005158,insulin receptor binding,1.0,False,2,313,2,
GO:MF,GO:0005496,steroid binding,1.0,False,9,313,7,
GO:MF,GO:0005161,platelet-derived growth factor receptor binding,1.0,False,4,313,3,
GO:MF,GO:0005165,neurotrophin receptor binding,1.0,False,1,313,1,
GO:MF,GO:0005166,neurotrophin p75 receptor binding,1.0,False,1,313,1,
GO:MF,GO:0005178,integrin binding,1.0,False,10,313,6,
GO:MF,GO:0005198,structural molecule activity,1.0,False,2,313,1,
GO:MF,GO:0005215,transporter activity,1.0,False,27,313,19,
GO:MF,GO:0005216,monoatomic ion channel activity,1.0,False,14,313,9,
GO:MF,GO:0005242,inward rectifier potassium channel activity,1.0,False,1,313,1,
GO:MF,GO:0005244,voltage-gated monoatomic ion channel activity,1.0,False,2,313,2,
GO:MF,GO:0005245,voltage-gated calcium channel activity,1.0,False,1,313,1,
GO:MF,GO:0005246,calcium channel regulator activity,1.0,False,4,313,1,
GO:MF,GO:0005249,voltage-gated potassium channel activity,1.0,False,1,313,1,
GO:MF,GO:0005251,delayed rectifier potassium channel activity,1.0,False,1,313,1,
GO:MF,GO:0005261,monoatomic cation channel activity,1.0,False,14,313,9,
GO:MF,GO:0005262,calcium channel activity,1.0,False,5,313,2,
GO:MF,GO:0005267,potassium channel activity,1.0,False,6,313,5,
GO:MF,GO:0005272,sodium channel activity,1.0,False,2,313,1,
GO:MF,GO:0005319,lipid transporter activity,1.0,False,4,313,4,
GO:MF,GO:0005326,neurotransmitter transmembrane transporter activity,1.0,False,4,313,4,
GO:MF,GO:0005328,neurotransmitter:sodium symporter activity,1.0,False,1,313,1,
GO:MF,GO:0005330,dopamine:sodium symporter activity,1.0,False,2,313,2,
GO:MF,GO:0005334,norepinephrine:sodium symporter activity,1.0,False,2,313,2,
GO:MF,GO:0005335,serotonin:sodium:chloride symporter activity,1.0,False,1,313,1,
GO:MF,GO:0005337,nucleoside transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0005342,organic acid transmembrane transporter activity,1.0,False,6,313,4,
GO:MF,GO:0005345,purine nucleobase transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0004175,endopeptidase activity,1.0,False,3,313,1,
GO:MF,GO:0005415,nucleoside:sodium symporter activity,1.0,False,1,313,1,
GO:MF,GO:0005506,iron ion binding,1.0,False,10,313,10,
GO:MF,GO:0005507,copper ion binding,1.0,False,2,313,1,
GO:MF,GO:0005509,calcium ion binding,1.0,False,8,313,7,
