標準化名稱,CCLE原始名稱,miRNA原始名稱
GDM1,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GDM1HAEMATOPOIETICANDLYMPHOIDTISSUE
K562,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,K562HAEMATOPOIETICANDLYMPHOIDTISSUE
OCIAML3,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3HAEMATOPOIETICANDLYMPHOIDTISSUE
L540,L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L540HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1944,NCIH1944_LUNG,NCIH1944LUNG
NCIH441,NCIH441_LUNG,NCIH441LUNG
NCIH1793,NCIH1793_LUNG,NCIH1793LUNG
SUPM2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPM2HAEMATOPOIETICANDLYMPHOIDTISSUE
JVM2,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM2HAEMATOPOIETICANDLYMPHOIDTISSUE
KOPN8,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KOPN8HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1781,NCIH1781_LUNG,NCIH1781LUNG
NCIH2347,NCIH2347_LUNG,NCIH2347LUNG
HCC15,HCC15_LUNG,HCC15LUNG
NCIH1975,NCIH1975_LUNG,NCIH1975LUNG
NCIH810,NCIH810_LUNG,NCIH810LUNG
RAJI,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RAJIHAEMATOPOIETICANDLYMPHOIDTISSUE
DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH2HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1155,NCIH1155_LUNG,NCIH1155LUNG
NCIH661,NCIH661_LUNG,NCIH661LUNG
P12ICHIKAWA,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P12ICHIKAWAHAEMATOPOIETICANDLYMPHOIDTISSUE
ABC1,ABC1_LUNG,ABC1LUNG
NCIH1876,NCIH1876_LUNG,NCIH1876LUNG
KMS12BM,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS12BMHAEMATOPOIETICANDLYMPHOIDTISSUE
EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EHEBHAEMATOPOIETICANDLYMPHOIDTISSUE
MEG01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG01HAEMATOPOIETICANDLYMPHOIDTISSUE
SUDHL5,SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL5HAEMATOPOIETICANDLYMPHOIDTISSUE
ST486,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ST486HAEMATOPOIETICANDLYMPHOIDTISSUE
697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2342,NCIH2342_LUNG,NCIH2342LUNG
NCIH2087,NCIH2087_LUNG,NCIH2087LUNG
BL41,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL41HAEMATOPOIETICANDLYMPHOIDTISSUE
WSUDLCL2,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,WSUDLCL2HAEMATOPOIETICANDLYMPHOIDTISSUE
HARA,HARA_LUNG,HARALUNG
OCILY19,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCILY19HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2066,NCIH2066_LUNG,NCIH2066LUNG
SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPB15HAEMATOPOIETICANDLYMPHOIDTISSUE
DMS114,DMS114_LUNG,DMS114LUNG
NCIH358,NCIH358_LUNG,NCIH358LUNG
NALM6,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NALM6HAEMATOPOIETICANDLYMPHOIDTISSUE
SUDHL4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL4HAEMATOPOIETICANDLYMPHOIDTISSUE
