Unnamed: 0,ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage,StrippedName,CCLENameStripped
RERFLCMS,ACH-000062,PT-Rt0hf4,RERF-LC-MS,RERFLCMS,,Commercial,SIDM00355,CVCL_1655,LUAD,Unknown,Adherent,,Primary,lung,Male,JCRB,NSCLC_adenocarcinoma,JCRB0081,RERFLCMS_LUNG,910931.0,,2051.0,,,MF-015-004,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,RERFLCMS,RERFLCMS
RL,ACH-000371,PT-B4jW32,RL,RL,52.0,Commercial,SIDM01089,CVCL_1660,DLBCLNOS,Adult,Suspension,,Metastatic,ascites,Male,ATCC,b_cell,CRL-2261,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910861.0,,1273.0,,Unknown,MF-001-020,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,RL,RL
RPMI8226,ACH-000817,PT-pWj35D,RPMI 8226,RPMI8226,61.0,Commercial,SIDM00087,CVCL_0014,PCM,Adult,Mixed,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,plasmacytoma,,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,905964.0,,705.0,,,MF-001-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,RPMI8226,RPMI8226
RPMI8402,ACH-000636,PT-yCJrgB,RPMI-8402,RPMI8402,16.0,Commercial,SIDM00403,CVCL_1667,TLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,t_cell,290,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909702.0,,288.0,,,MF-001-001,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,RPMI8402,RPMI8402
RS411,ACH-000874,PT-eEEvwF,RS4;11,RS411,32.0,Commercial,SIDM01086,CVCL_0093,BLL,Adult,Suspension,,Primary,bone_marrow,Female,ATCC,b_cell,,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909703.0,,862.0,,,MF-001-001,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,RS4;11,RS411
SBC5,ACH-000670,PT-CGv0xl,SBC-5,SBC5,65.0,Commercial,SIDM00368,CVCL_1679,SCLC,Adult,Adherent,,Metastatic,pleural_effusion,Male,HSRRB,,JCRB0819,SBC5_LUNG,713880.0,,999.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,SBC5,SBC5
SHP77,ACH-000790,PT-EI5eP1,SHP-77,SHP77,54.0,Commercial,SIDM01078,CVCL_1693,SCLC,Adult,Mixed,,Primary,lung,Male,ATCC,,CRL-2195,SHP77_LUNG,724872.0,,1479.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,SHP77,SHP77
SIGM5,ACH-000112,PT-SHvyVR,SIG-M5,SIGM5,63.0,Commercial,SIDM00396,CVCL_1694,AMOL,Adult,Suspension,,,bone_marrow,Male,DSMZ,M5,,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909715.0,,656.0,,,MF-005-001,,AMOL,Acute Monoblastic/Monocytic Leukemia,Acute Myeloid Leukemia,Myeloid,SIGM5,SIGM5
SKLU1,ACH-000309,PT-9oyPuO,SK-LU-1,SKLU1,60.0,Commercial,SIDM01108,CVCL_0629,LUAD,Adult,Adherent,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,HTB-57,SKLU1_LUNG,909721.0,,233.0,,,,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,SKLU1,SKLU1
SKM1,ACH-000373,PT-8qF7hQ,SKM-1,SKM1,76.0,Commercial,SIDM00380,CVCL_0098,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,HSRRB,,JCRB0118,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909722.0,,304.0,,,MF-001-020,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,SKM1,SKM1
