Unnamed: 0,ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage,StrippedName,CCLENameStripped
KOPN8,ACH-001106,PT-6djQUQ,KOPN-8,KOPN8,0.0,Commercial,SIDM01034,CVCL_1866,BLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell,ACC 552,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330933.0,,1206.0,,,MF-001-001,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,KOPN8,KOPN8
KU812,ACH-000074,PT-FJahu6,KU812,KU812,38.0,Commercial,SIDM00308,CVCL_0379,CML,Adult,Adherent,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,blast_crisis,CRL-2099,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907311.0,,598.0,,,MF-001-001,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid,KU812,KU812
L1236,ACH-000702,PT-ImJeys,L-1236,L1236,34.0,Commercial,SIDM00313,CVCL_2096,HL,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330935.0,,408.0,,,MF-001-001,,HL,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid,L1236,L1236
L363,ACH-000183,PT-T1yBnE,L-363,L363,36.0,Commercial,SIDM00312,CVCL_1357,PCM,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,ACC 49,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,924239.0,,2224.0,,,MF-001-017,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,L363,L363
L428,ACH-000754,PT-Pi0OS5,L-428,L428,37.0,Commercial,SIDM00327,CVCL_1361,HL,Adult,Suspension,,,pleural_effusion,Female,DSMZ,,,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907322.0,,1804.0,,,MF-001-001,,HL,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid,L428,L428
L540,ACH-000806,PT-COK0Ia,L-540,L540,20.0,Commercial,SIDM00329,CVCL_1362,HL,Adult,Suspension,,,bone_marrow,Female,DSMZ,,,L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907323.0,SNP fingerprinting rules out CCRF-CEM contamination.,651.0,,,MF-001-020,,HL,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid,L540,L540
LAMA84,ACH-000301,PT-qTtBxS,LAMA-84,LAMA84,29.0,Commercial,SIDM00346,CVCL_0388,CML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,blast_crisis,ACC 168,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907783.0,,709.0,,,MF-001-001,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid,LAMA84,LAMA84
LCLC103H,ACH-000627,PT-Rd3J4D,LCLC-103H,LCLC103H,61.0,Commercial,SIDM00345,CVCL_1375,LCLC,Adult,Adherent,,Metastatic,pleural_effusion,Male,DSMZ,NSCLC_large_cell,ACC 384,LCLC103H_LUNG,753586.0,,1502.0,,,MF-001-001,,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung,LCLC103H,LCLC103H
LCLC97TM1,ACH-000596,PT-9Zamyo,LCLC-97TM1,LCLC97TM1,44.0,Commercial,SIDM00344,CVCL_1376,LCLC,Adult,Adherent,,Primary,lung,Male,DSMZ,NSCLC_large_cell,,LCLC97TM1_LUNG,946361.0,,485.0,,,MF-001-020,,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung,LCLC97TM1,LCLC97TM1
LOUCY,ACH-000104,PT-JJAsvr,Loucy,LOUCY,38.0,Commercial,SIDM00342,CVCL_1380,ATLL,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,ATCC,t_cell,CRL-2629,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907789.0,,1645.0,,,MF-001-001,,ATLL,Adult T-Cell Leukemia/Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,LOUCY,LOUCY
LOUNH91,ACH-000176,PT-wKL1PE,LOU-NH91,LOUNH91,64.0,Commercial,SIDM00341,CVCL_2104,LUSC,Adult,Adherent,,Primary,lung,Female,DSMZ,NSCLC_squamous,ACC 393,LOUNH91_LUNG,1298226.0,,1506.0,,,MF-001-021,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,LOUNH91,LOUNH91
LP1,ACH-000204,PT-gN5ZVQ,LP-1,LP1,56.0,Commercial,SIDM00340,CVCL_0012,PCM,Adult,Mixed,,Primary,haematopoietic_and_lymphoid_tissue,Female,HSRRB,,Could not find on vendor site,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907791.0,,1794.0,,,MF-005-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,LP1,LP1
LU65,ACH-000438,PT-DJtGj2,Lu-65,LU65,64.0,Commercial,SIDM00547,CVCL_1392,GCLC,Adult,Suspension,,Primary,lung,Male,JCRB,NSCLC_large_cell,,LU65_LUNG,724863.0,,47.0,,,MF-001-020,,GCLC,Giant Cell Carcinoma of the Lung,Non-Small Cell Lung Cancer,Lung,LU65,LU65
LXF289,ACH-000787,PT-w7dxuB,LXF-289,LXF289,62.0,Commercial,SIDM00339,CVCL_1394,LUAD,Adult,Adherent,,Primary,lung,Male,DSMZ,NSCLC_adenocarcinoma,ACC 265,LXF289_LUNG,753592.0,,1175.0,,,MF-004-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,LXF289,LXF289
ME1,ACH-000439,PT-do6aX9,ME-1,ME1,40.0,Commercial,SIDM00338,CVCL_2110,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M4,,ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330942.0,,427.0,,,MF-001-001,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,ME1,ME1
MEG01,ACH-000072,PT-yx4h8S,MEG-01,MEG01,55.0,Commercial,SIDM00526,CVCL_0425,CMLBCRABL1,Adult,Adherent,,,bone_marrow,Male,ATCC,,CRL-2021,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908126.0,,1263.0,,,MF-001-001,,CMLBCRABL1,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloproliferative Neoplasms,Myeloid,MEG01,MEG01
MHHCALL2,ACH-000020,PT-GMWtlF,MHH-CALL-2,MHHCALL2,15.0,Commercial,SIDM00331,CVCL_1409,BLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell,,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908132.0,,1906.0,,,MF-001-020,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,MHHCALL2,MHHCALL2
MM1S,ACH-000763,PT-wvxTew,MM1-S,MM1S,45.0,Academic lab,SIDM01265,CVCL_8792,PCM,Adult,Mixed,,Primary,haematopoietic_and_lymphoid_tissue,Female,Received from CCLE; originally academic lab,,,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1659818.0,,995.0,,,MF-001-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,MM1S,MM1S
MOLM13,ACH-000362,PT-H3wdRq,MOLM-13,MOLM13,20.0,Commercial,SIDM00437,CVCL_2119,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,ACC 554,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330947.0,,747.0,,,MF-001-020,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,MOLM13,MOLM13
MOLM16,ACH-000369,PT-sUmz7V,MOLM-16,MOLM16,77.0,Commercial,SIDM00435,CVCL_2120,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,ACC 555,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330948.0,,1229.0,,,MF-001-020,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,MOLM16,MOLM16
MOLP8,ACH-000745,PT-A75zAQ,MOLP-8,MOLP8,52.0,Commercial,SIDM00434,CVCL_2124,PCM,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330950.0,,924.0,,,,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,MOLP8,MOLP8
MOLT13,ACH-000795,PT-ZUsqVo,MOLT-13,MOLT13,2.0,Commercial,SIDM00433,CVCL_1422,TLL,Pediatric,Suspension,,,bone_marrow,Female,DSMZ,t_cell,436,MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908146.0,,86.0,,,MF-001-020,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,MOLT13,MOLT13
MOLT16,ACH-000918,PT-vmdivL,MOLT-16,MOLT16,5.0,Commercial,SIDM00431,CVCL_1424,TLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,t_cell,29,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908147.0,,1321.0,,,MF-001-020,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,MOLT16,MOLT16
MONOMAC6,ACH-000006,PT-ej13Dz,MONO-MAC-6,MONOMAC6,64.0,Commercial,SIDM01023,CVCL_1426,AMOL,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M5,ACC 124,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908148.0,,2167.0,,,MF-001-001,,AMOL,Acute Monoblastic/Monocytic Leukemia,Acute Myeloid Leukemia,Myeloid,MONOMAC6,MONOMAC6
NALM6,ACH-000938,PT-rgsUoa,NALM-6,NALM6,19.0,Commercial,SIDM00429,CVCL_0092,BLL,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,b_cell,ACC 128,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908158.0,,973.0,,,MF-001-017,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,NALM6,NALM6
NAMALWA,ACH-000944,PT-grWxm0,NAMALWA,NAMALWA,3.0,Commercial,SIDM00641,CVCL_0067,BL,Pediatric,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,JCRB,b_cell_burkitt,IFO50040,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908159.0,,669.0,,,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,NAMALWA,NAMALWA
NB4,ACH-000294,PT-ogTwsS,NB-4,NB4,23.0,Commercial,SIDM00428,CVCL_0005,AML,Adult,Suspension,,Primary,bone_marrow,Female,DSMZ,M3,ACC 207,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1323913.0,,1285.0,,,MF-001-001,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,NB4,NB4
NCIH1048,ACH-000866,PT-l2795j,NCI-H1048,NCIH1048,53.0,Commercial,SIDM00654,CVCL_1453,SCLC,Adult,Adherent,,Metastatic,pleural_effusion,Female,ATCC,,CRL-5853,NCIH1048_LUNG,687995.0,,1875.0,,,MF-007-010,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH1048,NCIH1048
NCIH1092,ACH-000514,PT-Jj10yy,NCI-H1092,NCIH1092,67.0,Commercial,SIDM00653,CVCL_1454,SCLC,Adult,Suspension,,Metastatic,bone_marrow,Male,ATCC,,CRL-5855,NCIH1092_LUNG,687997.0,,1928.0,,,MF-007-025,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH1092,NCIH1092
NCIH1105,ACH-000780,PT-SCGBeX,NCI-H1105,NCIH1105,73.0,Commercial,SIDM00652,CVCL_1455,SCLC,Adult,Suspension,,Metastatic,lymph_node,Male,ATCC,,CRL-5856,NCIH1105_LUNG,908468.0,,128.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH1105,NCIH1105
NCIH1155,ACH-000980,PT-DdDGB6,NCI-H1155,NCIH1155,36.0,Commercial,SIDM00651,CVCL_1456,LCLC,Adult,Adherent,,Metastatic,lymph_node,Male,ATCC,NSCLC_large_cell,CRL-5818,NCIH1155_LUNG,908467.0,,801.0,,,MF-001-014,,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1155,NCIH1155
NCIH1341,ACH-000129,PT-jzLNtr,NCI-H1341,NCIH1341,26.0,Commercial,SIDM00646,CVCL_1463,SCLC,Adult,Suspension,,Metastatic,cervix,Female,ATCC,,CRL-5864,NCIH1341_LUNG,1330964.0,,1825.0,,,MF-007-014,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH1341,NCIH1341
NCIH1435,ACH-000852,PT-9wHWAd,NCI-H1435,NCIH1435,35.0,Commercial,SIDM00658,CVCL_1470,LUAD,Adult,Mixed,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,CRL-5870,NCIH1435_LUNG,1298347.0,,2119.0,,,MF-001-014,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1435,NCIH1435
NCIH1436,ACH-000830,PT-Fd4LwY,NCI-H1436,NCIH1436,39.0,Commercial,SIDM00697,CVCL_1471,SCLC,Adult,Suspension,,Metastatic,lymph_node,Male,ATCC,,,NCIH1436_LUNG,908469.0,,2120.0,,,MF-007-010,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH1436,NCIH1436
NCIH1437,ACH-000589,PT-KKsvGZ,NCI-H1437,NCIH1437,60.0,Commercial,SIDM00734,CVCL_1472,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenocarcinoma,CRL-5872,NCIH1437_LUNG,687794.0,,800.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1437,NCIH1437
NCIH146,ACH-000506,PT-VTukYY,NCI-H146,NCIH146,59.0,Commercial,SIDM00698,CVCL_1473,SCLC,Adult,Suspension,,Metastatic,bone_marrow,Male,ATCC,,HTB-173,NCIH146_LUNG,910899.0,,932.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH146,NCIH146
NCIH1568,ACH-000869,PT-JylhbS,NCI-H1568,NCIH1568,48.0,Commercial,SIDM00750,CVCL_1476,LUAD,Adult,Adherent,,Metastatic,lymph_node,Female,ATCC,NSCLC_adenocarcinoma,CRL-5876,NCIH1568_LUNG,1298348.0,,711.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1568,NCIH1568
NCIH1623,ACH-000744,PT-9tlxuS,NCI-H1623,NCIH1623,58.0,Commercial,SIDM00747,CVCL_1481,LUAD,Adult,Adherent,,Metastatic,lymph_node,Male,ATCC,NSCLC_adenocarcinoma,CRL-5881,NCIH1623_LUNG,687798.0,,1238.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1623,NCIH1623
NCIH1648,ACH-000766,PT-wZGKqJ,NCI-H1648,NCIH1648,39.0,Commercial,SIDM00746,CVCL_1482,LUAD,Adult,Adherent,,Metastatic,lymph_node,Male,ATCC,NSCLC_adenocarcinoma,CRL-5882,NCIH1648_LUNG,687799.0,,712.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1648,NCIH1648
NCIH1650,ACH-000035,PT-5LVIPg,NCI-H1650,NCIH1650,27.0,Commercial,SIDM00745,CVCL_1483,NSCLC,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenocarcinoma,NCIH1650,NCIH1650_LUNG,687800.0,,1548.0,,,MF-001-001,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,NCIH1650,NCIH1650
NCIH1651,ACH-000893,PT-yo5QST,NCI-H1651,NCIH1651,71.0,Commercial,SIDM00744,CVCL_1484,LUAD,Adult,Adherent,,Primary,lung,Male,ATCC,NSCLC_adenocarcinoma,CRL-5884,NCIH1651_LUNG,910900.0,,1828.0,,,MF-007-020,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1651,NCIH1651
NCIH1781,ACH-000379,PT-ZMox9l,NCI-H1781,NCIH1781,66.0,Commercial,SIDM00754,CVCL_1494,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Female,ATCC,NSCLC_adenocarcinoma,CRL-5894,NCIH1781_LUNG,1298350.0,,2228.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1781,NCIH1781
NCIH1792,ACH-000496,PT-5umTu0,NCI-H1792,NCIH1792,50.0,Commercial,SIDM00771,CVCL_1495,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenocarcinoma,CRL-5895,NCIH1792_LUNG,724868.0,,2122.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1792,NCIH1792
NCIH1793,ACH-000888,PT-JWHrxe,NCI-H1793,NCIH1793,52.0,Commercial,SIDM00755,CVCL_1496,LUAD,Adult,Adherent,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,CRL-5896,NCIH1793_LUNG,908463.0,,934.0,,,MF-007-010,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1793,NCIH1793
NCIH1836,ACH-000559,PT-xIjoai,NCI-H1836,NCIH1836,52.0,Commercial,SIDM00770,CVCL_1498,SCLC,Adult,Suspension,,Primary,lung,Male,ATCC,,CRL-5898,NCIH1836_LUNG,1240182.0,,1829.0,,,MF-007-010,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH1836,NCIH1836
NCIH1876,ACH-000586,PT-0a2F5a,NCI-H1876,NCIH1876,59.0,Commercial,SIDM00766,CVCL_1503,SCLC,Adult,Adherent,,Metastatic,lymph_node,Male,ATCC,,CRL-5902,NCIH1876_LUNG,1330972.0,,91.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH1876,NCIH1876
NCIH1915,ACH-000434,PT-3DrWN5,NCI-H1915,NCIH1915,61.0,Commercial,SIDM00763,CVCL_1505,LCLC,Adult,Adherent,,Metastatic,central_nervous_system,Female,ATCC,NSCLC_large_cell,CRL-5904,NCIH1915_LUNG,1240184.0,,1823.0,,,MF-001-001,,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1915,NCIH1915
NCIH1944,ACH-000414,PT-0Fp6tq,NCI-H1944,NCIH1944,62.0,Commercial,SIDM00762,CVCL_1508,LUAD,Adult,Adherent,,Metastatic,soft_tissue,Female,ATCC,NSCLC_adenocarcinoma,CRL - 5907,NCIH1944_LUNG,1240185.0,,183.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1944,NCIH1944
NCIH196,ACH-000752,PT-8aORoW,NCI-H196,NCIH196,68.0,Commercial,SIDM00761,CVCL_1509,SCLC,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,,CRL-5823,NCIH196_LUNG,1240186.0,,1250.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH196,NCIH196
NCIH1963,ACH-000729,PT-LzHDTV,NCI-H1963,NCIH1963,56.0,Commercial,SIDM00760,CVCL_1510,SCLC,Adult,Suspension,,Primary,lung,Male,ATCC,,CRL-5982,NCIH1963_LUNG,688010.0,,1570.0,,,MF-001-020,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH1963,NCIH1963
NCIH1975,ACH-000587,PT-HkdFKw,NCI-H1975,NCIH1975,,Commercial,SIDM00759,CVCL_1511,LUAD,Unknown,Adherent,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,CRL-5908,NCIH1975_LUNG,924244.0,,1403.0,,,MF-002-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH1975,NCIH1975
NCIH2009,ACH-000886,PT-bwPYLi,NCI-H2009,NCIH2009,68.0,Commercial,SIDM00756,CVCL_1514,LUAD,Adult,Adherent,,Metastatic,lymph_node,Female,ATCC,NSCLC_adenocarcinoma,CRL-5911,NCIH2009_LUNG,724873.0,,79.0,,,MF-007-010,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2009,NCIH2009
NCIH2023,ACH-000781,PT-CKs1VS,NCI-H2023,NCIH2023,26.0,Commercial,SIDM00753,CVCL_1515,LUAD,Adult,Adherent,,Metastatic,lymph_node,Male,ATCC,NSCLC_adenocarcinoma,CRL-5912,NCIH2023_LUNG,1240187.0,,1266.0,,,MF-007-010,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2023,NCIH2023
NCIH2029,ACH-000298,PT-2tJBcj,NCI-H2029,NCIH2029,69.0,Commercial,SIDM00735,CVCL_1516,SCLC,Adult,Adherent,,Metastatic,lymph_node,Female,ATCC,,,NCIH2029_LUNG,688011.0,,2106.0,,,MF-002-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH2029,NCIH2029
NCIH2030,ACH-000521,PT-hEuGfg,NCI-H2030,NCIH2030,,Commercial,SIDM00715,CVCL_1517,LUAD,Unknown,Adherent,,Metastatic,lymph_node,Male,ATCC,NSCLC_adenocarcinoma,CRL-5914,NCIH2030_LUNG,722045.0,,912.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2030,NCIH2030
NCIH2066,ACH-000727,PT-6N2wxK,NCI-H2066,NCIH2066,70.0,Commercial,SIDM00711,CVCL_1520,SCLC,Adult,Adherent,,Primary,lung,Female,ATCC,,CRL-5917,NCIH2066_LUNG,1330973.0,,1073.0,,,MF-007-010,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH2066,NCIH2066
NCIH2081,ACH-000394,PT-PzvfS6,NCI-H2081,NCIH2081,59.0,Commercial,SIDM00710,CVCL_1522,SCLC,Adult,Suspension,,Metastatic,pleural_effusion,Female,ATCC,,CRL-5921,NCIH2081_LUNG,908480.0,,914.0,,,MF-007-010,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH2081,NCIH2081
NCIH2085,ACH-000451,PT-hZbJSf,NCI-H2085,NCIH2085,45.0,Commercial,SIDM00709,CVCL_1523,LUAD,Adult,Adherent,,Primary,lung,Male,ATCC,NSCLC_adenocarcinoma,,NCIH2085_LUNG,687812.0,,80.0,,,MF-001-014,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2085,NCIH2085
NCIH2087,ACH-000841,PT-lYuNel,NCI-H2087,NCIH2087,69.0,Commercial,SIDM00708,CVCL_1524,LUAD,Adult,Adherent,,Metastatic,lymph_node,Male,ATCC,NSCLC_adenocarcinoma,CRL-5922,NCIH2087_LUNG,724834.0,,915.0,,,MF-001-014,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2087,NCIH2087
NCIH209,ACH-000290,PT-DzY90c,NCI-H209,NCIH209,55.0,Commercial,SIDM00706,CVCL_1525,SCLC,Adult,Suspension,,Metastatic,bone_marrow,Male,ATCC,,,NCIH209_LUNG,688013.0,,452.0,,,MF-001-020,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH209,NCIH209
NCIH211,ACH-000639,PT-PkJ80f,NCI-H211,NCIH211,50.0,Commercial,SIDM00704,CVCL_1529,SCLC,Adult,Mixed,,Metastatic,bone_marrow,Female,ATCC,,CRL-5824,NCIH211_LUNG,1240189.0,,2107.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH211,NCIH211
NCIH2110,ACH-000929,PT-29i6JV,NCI-H2110,NCIH2110,,Commercial,SIDM00703,CVCL_1530,NSCLC,Unknown,Adherent,,Metastatic,pleural_effusion,Unknown,ATCC,,CRL-5924,NCIH2110_LUNG,1298351.0,,1948.0,,,MF-001-001,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,NCIH2110,NCIH2110
NCIH2122,ACH-000311,PT-6IoG5q,NCI-H2122,NCIH2122,46.0,Commercial,SIDM00702,CVCL_1531,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Female,ATCC,NSCLC_adenocarcinoma,CRL-5985,NCIH2122_LUNG,722046.0,,1015.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2122,NCIH2122
NCIH2170,ACH-000481,PT-CazMr1,NCI-H2170,NCIH2170,,Commercial,SIDM00716,CVCL_1535,LUSC,Unknown,Adherent,,Primary,lung,Male,ATCC,NSCLC_squamous,CRL-5928,NCIH2170_LUNG,687815.0,,1811.0,,,MF-001-001,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2170,NCIH2170
NCIH2171,ACH-000525,PT-NNs10U,NCI-H2171,NCIH2171,50.0,Commercial,SIDM00733,CVCL_1536,SCLC,Adult,Suspension,,Metastatic,pleural_effusion,Male,ATCC,,CRL-5929,NCIH2171_LUNG,688015.0,,1571.0,,,MF-001-020,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH2171,NCIH2171
NCIH2172,ACH-000924,PT-4qxYZb,NCI-H2172,NCIH2172,,Commercial,SIDM00926,CVCL_1537,NSCLC,Unknown,Adherent,,Primary,lung,Female,ATCC,,CRL-5930,NCIH2172_LUNG,1298353.0,,1692.0,,,MF-001-001,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,NCIH2172,NCIH2172
NCIH2196,ACH-000399,PT-FplxWn,NCI-H2196,NCIH2196,67.0,Commercial,SIDM00731,CVCL_1539,SCLC,Adult,Adherent,,Metastatic,bone_marrow,Male,ATCC,,CRL-5932,NCIH2196_LUNG,908481.0,,916.0,,,MF-007-010,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH2196,NCIH2196
