expression_name,target_name,standardized
NCIH1092_LUNG,NCIH1092,NCIH1092
NCIH1105_LUNG,NCIH1105,NCIH1105
NCIH1436_LUNG,NCIH1436,NCIH1436
NCIH1876_LUNG,NCIH1876,NCIH1876
CORL88_LUNG,CORL88,CORL88
CORL95_LUNG,CORL95,CORL95
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPM2,SUPM2
NCIH2172_LUNG,NCIH2172,NCIH2172
NCIH596_LUNG,NCIH596,NCIH596
NCIH650_LUNG,NCIH650,NCIH650
SW1573_LUNG,SW1573,SW1573
HCC366_LUNG,HCC366,HCC366
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMK,CMK
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL8,SUDHL8
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,HEL
HCC33_LUNG,HCC33,HCC33
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL41,BL41
CORL105_LUNG,CORL105,CORL105
COLO668_LUNG,COLO668,COLO668
NCIH1915_LUNG,NCIH1915,NCIH1915
NCIH838_LUNG,NCIH838,NCIH838
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NAMALWA,NAMALWA
NCIH292_LUNG,NCIH292,NCIH292
CORL279_LUNG,CORL279,CORL279
