drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna
JQ1,4,stacking,ridge,1.0,-0.020789369787323375,163,40,0.486498452142447,-0.15046283966979374,0.31895896746306507,0.3478510838896697
JQ1,5,stacking,ridge,1.0,-0.08606546524124825,163,40,0.4688176227070206,-0.039040916240972015,0.12116756164971208,0.54485104653079
NAVITOCLAX,1,stacking,ridge,1.0,-0.09119651509042381,162,41,0.9863932735851113,0.20175408673240655,0.16470288996142063,-0.28025541216441563
NAVITOCLAX,2,stacking,ridge,1.0,-0.05641790601801733,162,41,0.8748695958513666,0.39790679619150277,0.17424019718281392,-0.40894535453681424
NAVITOCLAX,3,stacking,ridge,1.0,-0.17662724080725545,162,41,0.9448608011476067,0.42107290424049076,0.0774783699973008,-0.3179810156997106
NAVITOCLAX,4,stacking,ridge,1.0,-0.09867771563315775,163,40,0.9784589996909246,0.35802455597408916,0.15817948130523807,-0.2763681080504252
NAVITOCLAX,5,stacking,ridge,1.0,-0.10773599045836901,163,40,0.900664963460749,0.4164981288888125,0.026907179546222897,-0.19892998412059731
NUTLIN-3A (-),1,stacking,ridge,1.0,-0.09779531750771087,162,41,1.0312410523953652,0.24269960937470256,0.10956428547630434,-0.3440714802416771
NUTLIN-3A (-),2,stacking,ridge,1.0,0.163728653611539,162,41,0.8755718140493484,0.21905996829491522,0.21834618264564892,-0.33965186450879253
NUTLIN-3A (-),3,stacking,ridge,1.0,-0.30727526581175235,162,41,0.8281531776531572,0.27451907788595226,0.2526104880603099,-0.287124412575057
NUTLIN-3A (-),4,stacking,ridge,1.0,-0.22516039717208525,163,40,0.8956444780681541,0.25823762675236994,0.17833917115125789,-0.27164789285965046
NUTLIN-3A (-),5,stacking,ridge,1.0,0.23937580823911464,163,40,0.8288054605805962,0.21973959007756252,0.297265282755908,-0.38602612529878544
OLAPARIB,1,stacking,ridge,1.0,0.17911372705434037,162,41,0.41402981842586356,0.1112698953376869,0.46592572176089464,-0.042280092837545837
OLAPARIB,2,stacking,ridge,1.0,0.17433593249545343,162,41,0.5518444822164066,0.06947185125147551,0.44096124237577994,-0.10698233032596142
OLAPARIB,3,stacking,ridge,1.0,0.44889651549105736,162,41,0.709812746119946,0.07041580920475565,0.42814424828154,-0.34787163302691637
OLAPARIB,4,stacking,ridge,1.0,0.27693338884098706,163,40,0.6361338271716644,-0.01301602108882816,0.6091418680053049,-0.294124020334372
OLAPARIB,5,stacking,ridge,1.0,0.631645439026661,163,40,0.42560119004330865,0.0651582045278873,0.5059347464855738,-0.17400676962282335
PALBOCICLIB,1,stacking,ridge,1.0,-0.19357257293820584,162,41,0.9904020654723699,0.15052744945402055,-0.2912491278059356,0.247424549893786
PALBOCICLIB,2,stacking,ridge,1.0,-0.20283788636438516,162,41,0.9646802273771861,0.12306024368776779,-0.2017436482129341,0.2103838707108989
PALBOCICLIB,3,stacking,ridge,1.0,-0.09675173943090476,162,41,0.79597778773046,0.247258653062315,-0.2795007952849824,0.2853281996588972
