drug,fold,blend,RMSE_ens,R2_ens,Spearman_ens,Pearson_ens,RMSE_mean,R2_mean
OLAPARIB,5,stacking,0.8594570354887224,0.38001675294293646,0.6981238273921202,0.6607642584120863,0.893946461371959,0.32925934382952926
PALBOCICLIB,1,stacking,1.1646023177424343,0.4013831840966027,0.6398954703832754,0.6416080117314529,1.1748487770822857,0.39080328795840025
PALBOCICLIB,2,stacking,1.1808936106211976,0.43261107031477153,0.6641114982578399,0.6608826591957582,1.2229287332743901,0.3914985596557107
PALBOCICLIB,3,stacking,1.2009794130867946,0.560106251222716,0.7933797909407667,0.7736210538163375,1.3113056203565112,0.47557364396726365
PALBOCICLIB,4,stacking,1.1512763429906248,0.3893444860666173,0.6542213883677299,0.647250377678523,1.1829340874597747,0.35529919148708644
PALBOCICLIB,5,stacking,1.0048393320261964,0.5282232939393163,0.7118198874296436,0.7313994923412553,0.9928729096229946,0.5393929680290392
PD0325901,1,stacking,1.4665503440680734,0.43572064583028847,0.7383275261324043,0.721659207696907,1.5527613097946724,0.3674285153102156
PD0325901,2,stacking,1.651973112904686,0.3246591163999619,0.6480836236933799,0.6160201000969836,1.6260938139154952,0.34565274050465533
PD0325901,3,stacking,1.6210451244177888,0.44245580926244155,0.6919860627177703,0.7015325635301668,1.7264437530466086,0.3675969526685142
PD0325901,4,stacking,1.157731954818471,0.5619544493839501,0.7317073170731709,0.7748679766087522,1.2724904712655483,0.4708091697236565
PD0325901,5,stacking,1.7319760476143728,-0.2820434386584387,0.5831144465290808,0.4852761255973837,1.4196090533358698,0.1386959333753991
PLX-4720,1,stacking,0.7541187316838268,0.2258964612511617,0.46445993031358895,0.47720750035967047,0.7714705237788468,0.18986336741055831
PLX-4720,2,stacking,0.762261817316529,0.22720330002494793,0.498432055749129,0.5320592116169515,0.7648502153506026,0.22194604690498354
PLX-4720,3,stacking,0.736137174757126,0.26802039396988975,0.5503484320557492,0.5468151851423062,0.7550398997361529,0.22994581453007634
PLX-4720,4,stacking,0.6783164614706072,0.24818361469748518,0.4953095684803002,0.5000518351477174,0.6804304882645742,0.24349012204026277
PLX-4720,5,stacking,0.7254259348160425,0.1866471959724375,0.49343339587242036,0.45344617636160933,0.7284616263269282,0.17982567420648343
REFAMETINIB,1,stacking,1.462462058550411,0.2116746706844148,0.5233449477351918,0.5556823859837394,1.315131488177559,0.3625081780939229
REFAMETINIB,2,stacking,1.230280581444784,0.4450997568645464,0.6465156794425089,0.6798648717137235,1.2554033174750014,0.4222058763967912
