drug,theme_APOPTOSIS_BCL2,theme_CELL_CYCLE_MITOSIS_KINASE,theme_CHROMATIN_EPIGENETIC,theme_DNA_REPLICATION_GENOME_INTEGRITY,theme_EPH_RECEPTOR_SIGNALING,theme_ERBB_EGFR_FAMILY_RTK,theme_ION_CHANNEL_TRANSPORTER,theme_JNK_P38_STRESS_MAPK,theme_MAP2K_MEK_ERK_RAF_CASCADE,theme_MET_HGF_RTK,theme_PARP_DNA_REPAIR_CHECKPOINT,theme_PI3K_AKT_MTOR,theme_PROTEOSTASIS,theme_RTK_SIGNALING_BROAD,theme_SER_THR_KINASE_SIGNALING,theme_SRC_LCK_NONRECEPTOR_TK,theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK
AZD6482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AZD6738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AZD7762,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
AZD8055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AZD8186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AZD8835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AZD8931,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BAFETINIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BAM7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAY AKT1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
