drug,source,field,token_original,token_norm,feature
TASELISIB,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
TASELISIB,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
EPZ5676,drug_sample,PUTATIVE_TARGET,DOT1L,DOT1L,rawtok_DOT1L
EPZ5676,drug_sample,PATHWAY_NAME,Chromatin histone methylation,CHROMATIN HISTONE METHYLATION,rawtok_CHROMATIN_HISTONE_METHYLATION
SCH772984,drug_sample,PUTATIVE_TARGET,ERK1,ERK1,rawtok_ERK1
SCH772984,drug_sample,PUTATIVE_TARGET,ERK2,ERK2,rawtok_ERK2
SCH772984,drug_sample,PATHWAY_NAME,ERK MAPK signaling,ERK MAPK SIGNALING,rawtok_ERK_MAPK_SIGNALING
IWP-2,drug_sample,PUTATIVE_TARGET,PORCN,PORCN,rawtok_PORCN
IWP-2,drug_sample,PATHWAY_NAME,WNT signaling,WNT SIGNALING,rawtok_WNT_SIGNALING
LEFLUNOMIDE,drug_sample,PUTATIVE_TARGET,Pyrimidine synthesis inhibitor,PYRIMIDINE SYNTHESIS INHIBITOR,rawtok_PYRIMIDINE_SYNTHESIS_INHIBITOR
LEFLUNOMIDE,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
GSK2801,drug_sample,PATHWAY_NAME,Chromatin other,CHROMATIN OTHER,rawtok_CHROMATIN_OTHER
BROMOSPORINE,drug_sample,PUTATIVE_TARGET,BRD2,BRD2,rawtok_BRD2
BROMOSPORINE,drug_sample,PUTATIVE_TARGET,BRD4,BRD4,rawtok_BRD4
BROMOSPORINE,drug_sample,PUTATIVE_TARGET,BRD9,BRD9,rawtok_BRD9
BROMOSPORINE,drug_sample,PUTATIVE_TARGET,CECR2,CECR2,rawtok_CECR2
BROMOSPORINE,drug_sample,PATHWAY_NAME,Chromatin other,CHROMATIN OTHER,rawtok_CHROMATIN_OTHER
SGC-CBP30,drug_sample,PUTATIVE_TARGET,CBP,CBP,rawtok_CBP
SGC-CBP30,drug_sample,PUTATIVE_TARGET,EP300,EP300,rawtok_EP300
SGC-CBP30,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
GSK-LSD1,drug_sample,PUTATIVE_TARGET,KDM1,KDM1,rawtok_KDM1
GSK-LSD1,drug_sample,PATHWAY_NAME,Chromatin histone methylation,CHROMATIN HISTONE METHYLATION,rawtok_CHROMATIN_HISTONE_METHYLATION
BDOCA000347A,drug_sample,PUTATIVE_TARGET,BRPF1,BRPF1,rawtok_BRPF1
BDOCA000347A,drug_sample,PUTATIVE_TARGET,BRPF2,BRPF2,rawtok_BRPF2
BDOCA000347A,drug_sample,PUTATIVE_TARGET,BRPF3,BRPF3,rawtok_BRPF3
BDOCA000347A,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
BDF00022089A,drug_sample,PUTATIVE_TARGET,BRPF1,BRPF1,rawtok_BRPF1
BDF00022089A,drug_sample,PUTATIVE_TARGET,BRPF2,BRPF2,rawtok_BRPF2
BDF00022089A,drug_sample,PUTATIVE_TARGET,BRPF3,BRPF3,rawtok_BRPF3
BDF00022089A,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
BDILV000379A,drug_sample,PUTATIVE_TARGET,BAZ2A,BAZ2A,rawtok_BAZ2A
BDILV000379A,drug_sample,PUTATIVE_TARGET,BAZ2B,BAZ2B,rawtok_BAZ2B
BDILV000379A,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
VE-822,drug_sample,PUTATIVE_TARGET,ATM,ATM,rawtok_ATM
VE-822,drug_sample,PUTATIVE_TARGET,ATR,ATR,rawtok_ATR
VE-822,drug_sample,PUTATIVE_TARGET,MTOR,MTOR,rawtok_MTOR
VE-822,drug_sample,PUTATIVE_TARGET,PIK3CG,PIK3CG,rawtok_PIK3CG
VE-822,drug_sample,PATHWAY_NAME,Genome integrity,GENOME INTEGRITY,rawtok_GENOME_INTEGRITY
WZ4003,drug_sample,PUTATIVE_TARGET,NUAK1,NUAK1,rawtok_NUAK1
WZ4003,drug_sample,PUTATIVE_TARGET,NUAK2,NUAK2,rawtok_NUAK2
WZ4003,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
CZC24832,drug_sample,PUTATIVE_TARGET,PI3Kgamma,PI3KGAMMA,rawtok_PI3KGAMMA
CZC24832,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
CZC24832,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
GSK2606414,drug_sample,PUTATIVE_TARGET,PERK,PERK,rawtok_PERK
GSK2606414,drug_sample,PATHWAY_NAME,Metabolism,METABOLISM,rawtok_METABOLISM
PFI3,drug_sample,PUTATIVE_TARGET,Polybromo 1,POLYBROMO 1,rawtok_POLYBROMO_1
PFI3,drug_sample,PUTATIVE_TARGET,SMARCA2,SMARCA2,rawtok_SMARCA2
PFI3,drug_sample,PUTATIVE_TARGET,SMARCA4,SMARCA4,rawtok_SMARCA4
PFI3,drug_sample,PATHWAY_NAME,Chromatin other,CHROMATIN OTHER,rawtok_CHROMATIN_OTHER
PCI-34051,drug_sample,PUTATIVE_TARGET,HDAC1,HDAC1,rawtok_HDAC1
PCI-34051,drug_sample,PUTATIVE_TARGET,HDAC6,HDAC6,rawtok_HDAC6
PCI-34051,drug_sample,PUTATIVE_TARGET,HDAC8,HDAC8,rawtok_HDAC8
PCI-34051,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
RVX-208,drug_sample,PUTATIVE_TARGET,BRD4,BRD4,rawtok_BRD4
RVX-208,drug_sample,PATHWAY_NAME,Chromatin other,CHROMATIN OTHER,rawtok_CHROMATIN_OTHER
OTX015,drug_sample,PUTATIVE_TARGET,BRD2,BRD2,rawtok_BRD2
OTX015,drug_sample,PUTATIVE_TARGET,BRD3,BRD3,rawtok_BRD3
OTX015,drug_sample,PUTATIVE_TARGET,BRD4,BRD4,rawtok_BRD4
OTX015,drug_sample,PATHWAY_NAME,Chromatin other,CHROMATIN OTHER,rawtok_CHROMATIN_OTHER
GSK343,drug_sample,PUTATIVE_TARGET,EZH2,EZH2,rawtok_EZH2
GSK343,drug_sample,PATHWAY_NAME,Chromatin histone methylation,CHROMATIN HISTONE METHYLATION,rawtok_CHROMATIN_HISTONE_METHYLATION
ML323,drug_sample,PUTATIVE_TARGET,UAF1,UAF1,rawtok_UAF1
ML323,drug_sample,PUTATIVE_TARGET,USP1,USP1,rawtok_USP1
ML323,drug_sample,PATHWAY_NAME,Protein stability and degradation,PROTEIN STABILITY AND DEGRADATION,rawtok_PROTEIN_STABILITY_AND_DEGRADATION
ENTOSPLETINIB,drug_sample,PUTATIVE_TARGET,SYK,SYK,rawtok_SYK
ENTOSPLETINIB,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
PRT062607,drug_sample,PUTATIVE_TARGET,FGR,FGR,rawtok_FGR
PRT062607,drug_sample,PUTATIVE_TARGET,MAP3K9,MAP3K9,rawtok_MAP3K9
PRT062607,drug_sample,PUTATIVE_TARGET,SYK,SYK,rawtok_SYK
PRT062607,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
RIBOCICLIB,drug_sample,PUTATIVE_TARGET,CDK4,CDK4,rawtok_CDK4
RIBOCICLIB,drug_sample,PUTATIVE_TARGET,CDK6,CDK6,rawtok_CDK6
RIBOCICLIB,drug_sample,PATHWAY_NAME,Cell cycle,CELL CYCLE,rawtok_CELL_CYCLE
PICOLINICI-ACID,drug_sample,PUTATIVE_TARGET,Inflammatory related,INFLAMMATORY RELATED,rawtok_INFLAMMATORY_RELATED
AZD5153,drug_sample,PUTATIVE_TARGET,BRD4,BRD4,rawtok_BRD4
AZD5153,drug_sample,PATHWAY_NAME,Chromatin other,CHROMATIN OTHER,rawtok_CHROMATIN_OTHER
CDK9_5576,drug_sample,PUTATIVE_TARGET,CDK9,CDK9,rawtok_CDK9
CDK9_5576,drug_sample,PATHWAY_NAME,Cell cycle,CELL CYCLE,rawtok_CELL_CYCLE
CDK9_5038,drug_sample,PUTATIVE_TARGET,CDK9,CDK9,rawtok_CDK9
CDK9_5038,drug_sample,PATHWAY_NAME,Cell cycle,CELL CYCLE,rawtok_CELL_CYCLE
EG5_9814,drug_sample,PUTATIVE_TARGET,KSP11,KSP11,rawtok_KSP11
ERK_2440,drug_sample,PUTATIVE_TARGET,ERK1,ERK1,rawtok_ERK1
ERK_2440,drug_sample,PUTATIVE_TARGET,ERK2,ERK2,rawtok_ERK2
ERK_2440,drug_sample,PATHWAY_NAME,ERK MAPK signaling,ERK MAPK SIGNALING,rawtok_ERK_MAPK_SIGNALING
ERK_6604,drug_sample,PUTATIVE_TARGET,ERK1,ERK1,rawtok_ERK1
ERK_6604,drug_sample,PUTATIVE_TARGET,ERK2,ERK2,rawtok_ERK2
ERK_6604,drug_sample,PATHWAY_NAME,ERK MAPK signaling,ERK MAPK SIGNALING,rawtok_ERK_MAPK_SIGNALING
IRAK4_4710,drug_sample,PUTATIVE_TARGET,IRAK4,IRAK4,rawtok_IRAK4
IRAK4_4710,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
JAK1_8709,drug_sample,PUTATIVE_TARGET,JAK1,JAK1,rawtok_JAK1
JAK1_8709,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
AZD5991,drug_sample,PUTATIVE_TARGET,MCL1,MCL1,rawtok_MCL1
AZD5991,drug_sample,PATHWAY_NAME,Apoptosis regulation,APOPTOSIS REGULATION,rawtok_APOPTOSIS_REGULATION
PAK_5339,drug_sample,PUTATIVE_TARGET,PAK1,PAK1,rawtok_PAK1
PAK_5339,drug_sample,PUTATIVE_TARGET,PAK2,PAK2,rawtok_PAK2
PAK_5339,drug_sample,PATHWAY_NAME,Cytoskeleton,CYTOSKELETON,rawtok_CYTOSKELETON
TAF1_5496,drug_sample,PUTATIVE_TARGET,TAF1,TAF1,rawtok_TAF1
ULK1_4989,drug_sample,PUTATIVE_TARGET,ULK1,ULK1,rawtok_ULK1
ULK1_4989,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
VSP34_8731,drug_sample,PUTATIVE_TARGET,VSP34,VSP34,rawtok_VSP34
IGF1R_3801,drug_sample,PUTATIVE_TARGET,IGFR1,IGFR1,rawtok_IGFR1
IGF1R_3801,drug_sample,PATHWAY_NAME,IGF1R signaling,IGF1R SIGNALING,rawtok_IGF1R_SIGNALING
JAK_8517,drug_sample,PUTATIVE_TARGET,JAK1,JAK1,rawtok_JAK1
JAK_8517,drug_sample,PUTATIVE_TARGET,JAK2,JAK2,rawtok_JAK2
JAK_8517,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
GSK2256098C,drug_sample,PUTATIVE_TARGET,FAK1,FAK1,rawtok_FAK1
GSK2256098C,drug_sample,PATHWAY_NAME,Cytoskeleton,CYTOSKELETON,rawtok_CYTOSKELETON
GSK2276186C,drug_sample,PUTATIVE_TARGET,JAK1,JAK1,rawtok_JAK1
GSK2276186C,drug_sample,PUTATIVE_TARGET,JAK2,JAK2,rawtok_JAK2
GSK2276186C,drug_sample,PUTATIVE_TARGET,JAK3,JAK3,rawtok_JAK3
GSK2276186C,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
GSK2110183B,drug_sample,PUTATIVE_TARGET,AKT1,AKT1,rawtok_AKT1
GSK2110183B,drug_sample,PUTATIVE_TARGET,AKT2,AKT2,rawtok_AKT2
GSK2110183B,drug_sample,PUTATIVE_TARGET,AKT3,AKT3,rawtok_AKT3
GSK2110183B,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
GSK2110183B,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
GSK626616AC,drug_sample,PUTATIVE_TARGET,DYRK1A,DYRK1A,rawtok_DYRK1A
GSK626616AC,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
GSK3337463A,drug_sample,PUTATIVE_TARGET,NIK,NIK,rawtok_NIK
GSK3337463A,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
GSK2830371A,drug_sample,PUTATIVE_TARGET,PPM1D,PPM1D,rawtok_PPM1D
LMB_AB1,drug_sample,PUTATIVE_TARGET,ADRA1A,ADRA1A,rawtok_ADRA1A
LMB_AB1,drug_sample,PUTATIVE_TARGET,ADRB1,ADRB1,rawtok_ADRB1
LMB_AB2,drug_sample,PUTATIVE_TARGET,GADD34,GADD34,rawtok_GADD34
LMB_AB2,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
LMB_AB3,drug_sample,PUTATIVE_TARGET,PPP1R15B,PPP1R15B,rawtok_PPP1R15B
IBRUTINIB,drug_sample,PUTATIVE_TARGET,BLK,BLK,rawtok_BLK
IBRUTINIB,drug_sample,PUTATIVE_TARGET,BMX,BMX,rawtok_BMX
IBRUTINIB,drug_sample,PUTATIVE_TARGET,BTK,BTK,rawtok_BTK
IBRUTINIB,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
ACETALAX,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
TOPOTECAN,drug_sample,PUTATIVE_TARGET,TOP1,TOP1,rawtok_TOP1
TOPOTECAN,drug_sample,PUTATIVE_TARGET,TOP1MT,TOP1MT,rawtok_TOP1MT
TOPOTECAN,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
TENIPOSIDE,drug_sample,PUTATIVE_TARGET,TOP2A,TOP2A,rawtok_TOP2A
TENIPOSIDE,drug_sample,PUTATIVE_TARGET,TOP2B,TOP2B,rawtok_TOP2B
TENIPOSIDE,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
MITOXANTRONE,drug_sample,PUTATIVE_TARGET,TOP2,TOP2,rawtok_TOP2
MITOXANTRONE,drug_sample,PUTATIVE_TARGET,TOP2A,TOP2A,rawtok_TOP2A
MITOXANTRONE,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
DACTINOMYCIN,drug_sample,PUTATIVE_TARGET,RNA polymerase,RNA POLYMERASE,rawtok_RNA_POLYMERASE
FLUDARABINE,drug_sample,PUTATIVE_TARGET,ADA,ADA,rawtok_ADA
FLUDARABINE,drug_sample,PUTATIVE_TARGET,Antimetabolite,ANTIMETABOLITE,rawtok_ANTIMETABOLITE
FLUDARABINE,drug_sample,PUTATIVE_TARGET,RRM1,RRM1,rawtok_RRM1
FLUDARABINE,drug_sample,PUTATIVE_TARGET,RRM2,RRM2,rawtok_RRM2
FLUDARABINE,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
NELARABINE,drug_sample,PUTATIVE_TARGET,POLA1,POLA1,rawtok_POLA1
NELARABINE,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
DACARBAZINE,drug_sample,PUTATIVE_TARGET,CP11A,CP11A,rawtok_CP11A
DACARBAZINE,drug_sample,PUTATIVE_TARGET,PGD,PGD,rawtok_PGD
DACARBAZINE,drug_sample,PUTATIVE_TARGET,POLA2,POLA2,rawtok_POLA2
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC1,HDAC1,rawtok_HDAC1
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC2,HDAC2,rawtok_HDAC2
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC3,HDAC3,rawtok_HDAC3
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC4,HDAC4,rawtok_HDAC4
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC5,HDAC5,rawtok_HDAC5
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC6,HDAC6,rawtok_HDAC6
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC7,HDAC7,rawtok_HDAC7
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC8,HDAC8,rawtok_HDAC8
ROMIDEPSIN,drug_sample,PUTATIVE_TARGET,HDAC9,HDAC9,rawtok_HDAC9
ROMIDEPSIN,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
123829,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
765771,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
123138,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
PODOPHYLLOTOXIN BROMIDE,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
50869,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
DIHYDROROTENONE,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
720427,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
667880,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
GALLIBISCOQUINAZOLE,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
L-OXONORELEAGNINE,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
729189,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
741909,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
743380,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
ELEPHANTIN,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
150412,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
SINULARIN,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
615590,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
630600,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
LMP744,drug_sample,PUTATIVE_TARGET,TOP1,TOP1,rawtok_TOP1
LMP744,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
776928,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
SCHWEINFURTHIN A,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
BEN,drug_sample,PATHWAY_NAME,Unclassified,UNCLASSIFIED,rawtok_UNCLASSIFIED
SABUTOCLAX,drug_sample,PUTATIVE_TARGET,BCL-XL,BCL-XL,rawtok_BCL_XL
SABUTOCLAX,drug_sample,PUTATIVE_TARGET,BCL2,BCL2,rawtok_BCL2
SABUTOCLAX,drug_sample,PUTATIVE_TARGET,BFL1,BFL1,rawtok_BFL1
SABUTOCLAX,drug_sample,PUTATIVE_TARGET,MCL1,MCL1,rawtok_MCL1
SABUTOCLAX,drug_sample,PATHWAY_NAME,Apoptosis regulation,APOPTOSIS REGULATION,rawtok_APOPTOSIS_REGULATION
LY2109761,drug_sample,PUTATIVE_TARGET,TGFB1,TGFB1,rawtok_TGFB1
LY2109761,drug_sample,PUTATIVE_TARGET,TGFBR1,TGFBR1,rawtok_TGFBR1
LY2109761,drug_sample,PUTATIVE_TARGET,TGFBR2,TGFBR2,rawtok_TGFBR2
OF-1,drug_sample,PUTATIVE_TARGET,BRPF1B,BRPF1B,rawtok_BRPF1B
OF-1,drug_sample,PUTATIVE_TARGET,BRPF2,BRPF2,rawtok_BRPF2
OF-1,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
MN-64,drug_sample,PUTATIVE_TARGET,TNKS1,TNKS1,rawtok_TNKS1
MN-64,drug_sample,PUTATIVE_TARGET,TNKS2,TNKS2,rawtok_TNKS2
MN-64,drug_sample,PATHWAY_NAME,WNT signaling,WNT SIGNALING,rawtok_WNT_SIGNALING
KRAS (G12C) INHIBITOR-12,drug_sample,PUTATIVE_TARGET,KRAS (G12C),KRAS (G12C),rawtok_KRAS_G12C
KRAS (G12C) INHIBITOR-12,drug_sample,PATHWAY_NAME,ERK MAPK signaling,ERK MAPK SIGNALING,rawtok_ERK_MAPK_SIGNALING
BDP-00009066,drug_sample,PUTATIVE_TARGET,MRCKB_HUMAN,MRCKB_HUMAN,rawtok_MRCKB_HUMAN
BDP-00009066,drug_sample,PATHWAY_NAME,Cytoskeleton,CYTOSKELETON,rawtok_CYTOSKELETON
BUPARLISIB,drug_sample,PUTATIVE_TARGET,PI3Kalpha,PI3KALPHA,rawtok_PI3KALPHA
BUPARLISIB,drug_sample,PUTATIVE_TARGET,PI3Kbeta,PI3KBETA,rawtok_PI3KBETA
BUPARLISIB,drug_sample,PUTATIVE_TARGET,PI3Kdelta,PI3KDELTA,rawtok_PI3KDELTA
BUPARLISIB,drug_sample,PUTATIVE_TARGET,PI3Kgamma,PI3KGAMMA,rawtok_PI3KGAMMA
BUPARLISIB,drug_sample,PUTATIVE_TARGET,PIK3CA,PIK3CA,rawtok_PIK3CA
BUPARLISIB,drug_sample,PUTATIVE_TARGET,PIK3CG,PIK3CG,rawtok_PIK3CG
BUPARLISIB,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
BUPARLISIB,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
ULIXERTINIB,drug_sample,PUTATIVE_TARGET,ERK1,ERK1,rawtok_ERK1
ULIXERTINIB,drug_sample,PUTATIVE_TARGET,ERK2,ERK2,rawtok_ERK2
ULIXERTINIB,drug_sample,PATHWAY_NAME,ERK MAPK signaling,ERK MAPK SIGNALING,rawtok_ERK_MAPK_SIGNALING
VENETOCLAX,drug_sample,PUTATIVE_TARGET,BCL2,BCL2,rawtok_BCL2
VENETOCLAX,drug_sample,PATHWAY_NAME,Apoptosis regulation,APOPTOSIS REGULATION,rawtok_APOPTOSIS_REGULATION
ABT737,drug_sample,PUTATIVE_TARGET,BCL-B,BCL-B,rawtok_BCL_B
ABT737,drug_sample,PUTATIVE_TARGET,BCL-W,BCL-W,rawtok_BCL_W
ABT737,drug_sample,PUTATIVE_TARGET,BCL-XL,BCL-XL,rawtok_BCL_XL
ABT737,drug_sample,PUTATIVE_TARGET,BCL2,BCL2,rawtok_BCL2
ABT737,drug_sample,PUTATIVE_TARGET,BFL1,BFL1,rawtok_BFL1
ABT737,drug_sample,PATHWAY_NAME,Apoptosis regulation,APOPTOSIS REGULATION,rawtok_APOPTOSIS_REGULATION
AFURESERTIB,drug_sample,PUTATIVE_TARGET,AKT1,AKT1,rawtok_AKT1
AFURESERTIB,drug_sample,PUTATIVE_TARGET,AKT2,AKT2,rawtok_AKT2
AFURESERTIB,drug_sample,PUTATIVE_TARGET,AKT3,AKT3,rawtok_AKT3
AFURESERTIB,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
AFURESERTIB,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
AGI-5198,drug_sample,PUTATIVE_TARGET,IDH1 (R132H),IDH1 (R132H),rawtok_IDH1_R132H
AGI-5198,drug_sample,PATHWAY_NAME,Metabolism,METABOLISM,rawtok_METABOLISM
AZD3759,drug_sample,PUTATIVE_TARGET,EGFR,EGFR,rawtok_EGFR
AZD3759,drug_sample,PATHWAY_NAME,EGFR signaling,EGFR SIGNALING,rawtok_EGFR_SIGNALING
AZD5363,drug_sample,PUTATIVE_TARGET,AKT1,AKT1,rawtok_AKT1
AZD5363,drug_sample,PUTATIVE_TARGET,AKT2,AKT2,rawtok_AKT2
AZD5363,drug_sample,PUTATIVE_TARGET,AKT3,AKT3,rawtok_AKT3
AZD5363,drug_sample,PUTATIVE_TARGET,ROCK2,ROCK2,rawtok_ROCK2
AZD5363,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
OSIMERTINIB,drug_sample,PUTATIVE_TARGET,EGFR,EGFR,rawtok_EGFR
OSIMERTINIB,drug_sample,PATHWAY_NAME,EGFR signaling,EGFR SIGNALING,rawtok_EGFR_SIGNALING
CEDIRANIB,drug_sample,PUTATIVE_TARGET,CSF1R,CSF1R,rawtok_CSF1R
CEDIRANIB,drug_sample,PUTATIVE_TARGET,FLT1,FLT1,rawtok_FLT1
CEDIRANIB,drug_sample,PUTATIVE_TARGET,FLT2,FLT2,rawtok_FLT2
CEDIRANIB,drug_sample,PUTATIVE_TARGET,FLT3,FLT3,rawtok_FLT3
CEDIRANIB,drug_sample,PUTATIVE_TARGET,FLT4,FLT4,rawtok_FLT4
CEDIRANIB,drug_sample,PUTATIVE_TARGET,KDR,KDR,rawtok_KDR
CEDIRANIB,drug_sample,PUTATIVE_TARGET,KIT,KIT,rawtok_KIT
CEDIRANIB,drug_sample,PUTATIVE_TARGET,PDGFRA,PDGFRA,rawtok_PDGFRA
CEDIRANIB,drug_sample,PUTATIVE_TARGET,PDGFRB,PDGFRB,rawtok_PDGFRB
CEDIRANIB,drug_sample,PUTATIVE_TARGET,VEGFR,VEGFR,rawtok_VEGFR
CEDIRANIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
IPATASERTIB,drug_sample,PUTATIVE_TARGET,AKT,AKT,rawtok_AKT
IPATASERTIB,drug_sample,PUTATIVE_TARGET,AKT1,AKT1,rawtok_AKT1
IPATASERTIB,drug_sample,PUTATIVE_TARGET,AKT3,AKT3,rawtok_AKT3
IPATASERTIB,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
IPATASERTIB,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
GDC0810,drug_sample,PUTATIVE_TARGET,ESR1,ESR1,rawtok_ESR1
GDC0810,drug_sample,PUTATIVE_TARGET,ESR2,ESR2,rawtok_ESR2
GDC0810,drug_sample,PATHWAY_NAME,Hormone-related,HORMONE-RELATED,rawtok_HORMONE_RELATED
GNE-317,drug_sample,PUTATIVE_TARGET,PI3Kalpha,PI3KALPHA,rawtok_PI3KALPHA
GNE-317,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
GNE-317,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
GSK2578215A,drug_sample,PUTATIVE_TARGET,LRRK2,LRRK2,rawtok_LRRK2
GSK2578215A,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
I-BRD9,drug_sample,PUTATIVE_TARGET,BRD9,BRD9,rawtok_BRD9
