feature,raw_token,n_drugs_supporting_token,n_rows,sources,fields,example_token
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_4,MITOGEN-ACTIVATED PROTEIN KINASE 4,1,1,targets,single_protein_pref_name,Mitogen-activated protein kinase 4
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_6,MITOGEN-ACTIVATED PROTEIN KINASE 6,1,1,targets,single_protein_pref_name,Mitogen-activated protein kinase 6
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 10,1,1,targets,single_protein_pref_name,Mitogen-activated protein kinase kinase kinase 10
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_15,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 15,1,1,targets,single_protein_pref_name,Mitogen-activated protein kinase kinase kinase 15
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5,1,1,targets,single_protein_pref_name,Mitogen-activated protein kinase kinase kinase 5
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_6,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6,1,1,targets,single_protein_pref_name,Mitogen-activated protein kinase kinase kinase 6
rawtok_MLNR,MLNR,1,1,drug_sample,PUTATIVE_TARGET,MLNR
rawtok_MME,MME,1,1,drug_sample,PUTATIVE_TARGET,MME
rawtok_MMP10,MMP10,1,1,drug_sample,PUTATIVE_TARGET,MMP10
rawtok_MMP11,MMP11,1,1,drug_sample,PUTATIVE_TARGET,MMP11
rawtok_MMP15,MMP15,1,1,drug_sample,PUTATIVE_TARGET,MMP15
rawtok_MMP17,MMP17,1,1,drug_sample,PUTATIVE_TARGET,MMP17
rawtok_MMP19,MMP19,1,1,drug_sample,PUTATIVE_TARGET,MMP19
rawtok_MMP20,MMP20,1,1,drug_sample,PUTATIVE_TARGET,MMP20
rawtok_MMP21,MMP21,1,1,drug_sample,PUTATIVE_TARGET,MMP21
rawtok_MMP23A,MMP23A,1,1,drug_sample,PUTATIVE_TARGET,MMP23A
rawtok_MMP24,MMP24,1,1,drug_sample,PUTATIVE_TARGET,MMP24
rawtok_MMP26,MMP26,1,1,drug_sample,PUTATIVE_TARGET,MMP26
rawtok_MMP27,MMP27,1,1,drug_sample,PUTATIVE_TARGET,MMP27
rawtok_MMP28,MMP28,1,1,drug_sample,PUTATIVE_TARGET,MMP28
rawtok_MMP7,MMP7,1,1,drug_sample,PUTATIVE_TARGET,MMP7
rawtok_MNK1,MNK1,1,1,drug_sample,PUTATIVE_TARGET,MNK1
rawtok_MNK2,MNK2,1,1,drug_sample,PUTATIVE_TARGET,MNK2
rawtok_MPL,MPL,1,1,drug_sample,PUTATIVE_TARGET,MPL
rawtok_MPO,MPO,1,1,drug_sample,PUTATIVE_TARGET,MPO
rawtok_MRCKB,MRCKB,1,1,drug_sample,PUTATIVE_TARGET,MRCKB
rawtok_MRCKB_HUMAN,MRCKB_HUMAN,1,1,drug_sample,PUTATIVE_TARGET,MRCKB_HUMAN
rawtok_MRE11,MRE11,1,1,drug_sample,PUTATIVE_TARGET,MRE11
rawtok_MST1R,MST1R,1,1,drug_sample,PUTATIVE_TARGET,MST1R
rawtok_MTTP,MTTP,1,1,drug_sample,PUTATIVE_TARGET,MTTP
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M4,MUSCARINIC ACETYLCHOLINE RECEPTOR M4,1,1,targets,single_protein_pref_name,Muscarinic acetylcholine receptor M4
rawtok_MYC,MYC,1,1,drug_sample,PUTATIVE_TARGET,MYC
rawtok_MYLK,MYLK,1,1,drug_sample,PUTATIVE_TARGET,MYLK
rawtok_N_MYRISTOYLTRANSFERASE_1,N-MYRISTOYLTRANSFERASE 1,1,1,drug_sample,PUTATIVE_TARGET,N-myristoyltransferase 1
rawtok_NAD_DEPENDENT_PROTEIN_DEACYLASE_SIRTUIN_5_MITOCHONDRIAL,"NAD-DEPENDENT PROTEIN DEACYLASE SIRTUIN-5, MITOCHONDRIAL",1,1,targets,single_protein_pref_name,"NAD-dependent protein deacylase sirtuin-5, mitochondrial"
rawtok_NAE,NAE,1,1,drug_sample,PUTATIVE_TARGET,NAE
rawtok_NAE1,NAE1,1,1,drug_sample,PUTATIVE_TARGET,NAE1
rawtok_NCOA1,NCOA1,1,1,drug_sample,PUTATIVE_TARGET,NCOA1
rawtok_NCOA2,NCOA2,1,1,drug_sample,PUTATIVE_TARGET,NCOA2
rawtok_NDC80,NDC80,1,1,drug_sample,PUTATIVE_TARGET,NDC80
rawtok_NDUFC2,NDUFC2,1,1,drug_sample,PUTATIVE_TARGET,NDUFC2
rawtok_NEDD8,NEDD8,1,1,targets,single_protein_pref_name,NEDD8
rawtok_NEDD8_ACTIVATING_ENZYME_INHIBITOR,NEDD8 ACTIVATING ENZYME INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,NEDD8 activating enzyme inhibitor
rawtok_NEDD8_ACTIVATING_ENZYME_E1_CATALYTIC_SUBUNIT,NEDD8-ACTIVATING ENZYME E1 CATALYTIC SUBUNIT,1,1,targets,single_protein_pref_name,NEDD8-activating enzyme E1 catalytic subunit
rawtok_NEDD8_ACTIVATING_ENZYME_E1_REGULATORY_SUBUNIT,NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT,1,1,targets,single_protein_pref_name,NEDD8-activating enzyme E1 regulatory subunit
rawtok_NEIL1,NEIL1,1,1,drug_sample,PUTATIVE_TARGET,NEIL1
rawtok_NEK11,NEK11,1,1,drug_sample,PUTATIVE_TARGET,NEK11
rawtok_NERVE_GROWTH_FACTOR_RECEPTOR_TRK_A_INHIBITOR,NERVE GROWTH FACTOR RECEPTOR TRK-A INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,Nerve growth factor receptor Trk-A inhibitor
rawtok_NEU1,NEU1,1,1,drug_sample,PUTATIVE_TARGET,NEU1
