feature,raw_token,n_drugs_supporting_token,n_rows,sources,fields,example_token
rawtok_PKD2L1,PKD2L1,1,1,drug_sample,PUTATIVE_TARGET,PKD2L1
rawtok_PKN1,PKN1,1,1,drug_sample,PUTATIVE_TARGET,PKN1
rawtok_PKN2,PKN2,1,1,drug_sample,PUTATIVE_TARGET,PKN2
rawtok_PLA2G4A,PLA2G4A,1,1,drug_sample,PUTATIVE_TARGET,PLA2G4A
rawtok_PLA2G7,PLA2G7,1,1,drug_sample,PUTATIVE_TARGET,PLA2G7
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_INHIBITOR,PLATELET-DERIVED GROWTH FACTOR RECEPTOR INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,Platelet-derived growth factor receptor inhibitor
rawtok_PLAUR,PLAUR,1,1,drug_sample,PUTATIVE_TARGET,PLAUR
rawtok_PLK4,PLK4,1,1,drug_sample,PUTATIVE_TARGET,PLK4
rawtok_PMRT5,PMRT5,1,1,drug_sample,PUTATIVE_TARGET,PMRT5
rawtok_POLA2,POLA2,1,1,drug_sample,PUTATIVE_TARGET,POLA2
rawtok_POLB,POLB,1,1,drug_sample,PUTATIVE_TARGET,POLB
rawtok_POLE2,POLE2,1,1,drug_sample,PUTATIVE_TARGET,POLE2
rawtok_POLE3,POLE3,1,1,drug_sample,PUTATIVE_TARGET,POLE3
rawtok_POLE4,POLE4,1,1,drug_sample,PUTATIVE_TARGET,POLE4
rawtok_POLY_ADP_RIBOSE_POLYMERASE_2_INHIBITOR,POLY [ADP-RIBOSE] POLYMERASE 2 INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,Poly [ADP-ribose] polymerase 2 inhibitor
rawtok_POLY_ADP_RIBOSE_POLYMERASE_1_INHIBITOR,POLY [ADP-RIBOSE] POLYMERASE-1 INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,Poly [ADP-ribose] polymerase-1 inhibitor
rawtok_POLYADENYLATE_BINDING_PROTEIN_1,POLYADENYLATE-BINDING PROTEIN 1,1,1,targets,single_protein_pref_name,Polyadenylate-binding protein 1
rawtok_POLYAMINE_DEACETYLASE_HDAC10,POLYAMINE DEACETYLASE HDAC10,1,1,targets,single_protein_pref_name,Polyamine deacetylase HDAC10
rawtok_POLYBROMO_1,POLYBROMO 1,1,1,drug_sample,PUTATIVE_TARGET,Polybromo 1
rawtok_POU2F2,POU2F2,1,1,drug_sample,PUTATIVE_TARGET,POU2F2
rawtok_PPARDELTA,PPARDELTA,1,1,drug_sample,PUTATIVE_TARGET,PPARdelta
rawtok_PPARGAMMA,PPARGAMMA,1,1,drug_sample,PUTATIVE_TARGET,PPARgamma
rawtok_PPIA,PPIA,1,1,drug_sample,PUTATIVE_TARGET,PPIA
rawtok_PPIF,PPIF,1,1,drug_sample,PUTATIVE_TARGET,PPIF
rawtok_PPK,PPK,1,1,drug_sample,PUTATIVE_TARGET,PPK
rawtok_PPP1R15B,PPP1R15B,1,1,drug_sample,PUTATIVE_TARGET,PPP1R15B
rawtok_PPP3CA,PPP3CA,1,1,drug_sample,PUTATIVE_TARGET,PPP3CA
rawtok_PPP3R2,PPP3R2,1,1,drug_sample,PUTATIVE_TARGET,PPP3R2
rawtok_PRKAA1,PRKAA1,1,1,drug_sample,PUTATIVE_TARGET,PRKAA1
rawtok_PRKAA2,PRKAA2,1,1,drug_sample,PUTATIVE_TARGET,PRKAA2
rawtok_PRKAB1,PRKAB1,1,1,drug_sample,PUTATIVE_TARGET,PRKAB1
rawtok_PRKAB2,PRKAB2,1,1,drug_sample,PUTATIVE_TARGET,PRKAB2
rawtok_PRKAG1,PRKAG1,1,1,drug_sample,PUTATIVE_TARGET,PRKAG1
rawtok_PRKAG2,PRKAG2,1,1,drug_sample,PUTATIVE_TARGET,PRKAG2
rawtok_PRKAG3,PRKAG3,1,1,drug_sample,PUTATIVE_TARGET,PRKAG3
rawtok_PRKCI,PRKCI,1,1,drug_sample,PUTATIVE_TARGET,PRKCI
rawtok_PRKCQ,PRKCQ,1,1,drug_sample,PUTATIVE_TARGET,PRKCQ
rawtok_PRKCZ,PRKCZ,1,1,drug_sample,PUTATIVE_TARGET,PRKCZ
rawtok_PROC,PROC,1,1,drug_sample,PUTATIVE_TARGET,PROC
rawtok_PROCASPASE_3,PROCASPASE-3,1,1,drug_sample,PUTATIVE_TARGET,Procaspase-3
rawtok_PROCASPASE_7,PROCASPASE-7,1,1,drug_sample,PUTATIVE_TARGET,Procaspase-7
rawtok_PROMOTILIN,PROMOTILIN,1,1,targets,single_protein_pref_name,Promotilin
rawtok_PROS1,PROS1,1,1,drug_sample,PUTATIVE_TARGET,PROS1
rawtok_PROSTAGLANDIN_G_H_SYNTHASE_1,PROSTAGLANDIN G/H SYNTHASE 1,1,1,targets,single_protein_pref_name,Prostaglandin G/H synthase 1
rawtok_PROSTAGLANDIN_G_H_SYNTHASE_2,PROSTAGLANDIN G/H SYNTHASE 2,1,1,targets,single_protein_pref_name,Prostaglandin G/H synthase 2
rawtok_PROTEIN_CEREBLON,PROTEIN CEREBLON,1,1,targets,single_protein_pref_name,Protein cereblon
rawtok_PROTEIN_KINASE_C_ALPHA_TYPE,PROTEIN KINASE C ALPHA TYPE,1,1,targets,single_protein_pref_name,Protein kinase C alpha type
rawtok_PROTEIN_KINASE_C_BETA_TYPE,PROTEIN KINASE C BETA TYPE,1,1,targets,single_protein_pref_name,Protein kinase C beta type
rawtok_PROTEIN_KINASE_C_ETA_TYPE,PROTEIN KINASE C ETA TYPE,1,1,targets,single_protein_pref_name,Protein kinase C eta type
rawtok_PROTEIN_KINASE_C_IOTA_TYPE,PROTEIN KINASE C IOTA TYPE,1,1,targets,single_protein_pref_name,Protein kinase C iota type
rawtok_PROTEIN_MDM4,PROTEIN MDM4,1,1,targets,single_protein_pref_name,Protein Mdm4
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP6,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP6,1,1,targets,single_protein_pref_name,Protein mono-ADP-ribosyltransferase PARP6
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP9,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP9,1,1,targets,single_protein_pref_name,Protein mono-ADP-ribosyltransferase PARP9
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_TIPARP,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE TIPARP,1,1,targets,single_protein_pref_name,Protein mono-ADP-ribosyltransferase TIPARP
rawtok_PROTEIN_PHOSPHATASE_3_CATALYTIC_SUBUNIT_ALPHA,PROTEIN PHOSPHATASE 3 CATALYTIC SUBUNIT ALPHA,1,1,targets,single_protein_pref_name,Protein phosphatase 3 catalytic subunit alpha
rawtok_PROTEIN_SMOOTHENED,PROTEIN SMOOTHENED,1,1,targets,single_protein_pref_name,Protein smoothened
rawtok_PROTON_COUPLED_FOLATE_TRANSPORTER,PROTON-COUPLED FOLATE TRANSPORTER,1,1,targets,single_protein_pref_name,Proton-coupled folate transporter
rawtok_PROZ,PROZ,1,1,drug_sample,PUTATIVE_TARGET,PROZ
rawtok_PSMD1,PSMD1,1,1,drug_sample,PUTATIVE_TARGET,PSMD1
rawtok_PSMD2,PSMD2,1,1,drug_sample,PUTATIVE_TARGET,PSMD2
rawtok_PTGDR2,PTGDR2,1,1,drug_sample,PUTATIVE_TARGET,PTGDR2
rawtok_PTGER3,PTGER3,1,1,drug_sample,PUTATIVE_TARGET,PTGER3
rawtok_PTGFR,PTGFR,1,1,drug_sample,PUTATIVE_TARGET,PTGFR
rawtok_PTGIS,PTGIS,1,1,drug_sample,PUTATIVE_TARGET,PTGIS
rawtok_PTK6,PTK6,1,1,drug_sample,PUTATIVE_TARGET,PTK6
rawtok_PTPMT1,PTPMT1,1,1,drug_sample,PUTATIVE_TARGET,PTPMT1
rawtok_PTPN11,PTPN11,1,1,drug_sample,PUTATIVE_TARGET,PTPN11
rawtok_PTPN2,PTPN2,1,1,drug_sample,PUTATIVE_TARGET,PTPN2
rawtok_PTPN6,PTPN6,1,1,drug_sample,PUTATIVE_TARGET,PTPN6
rawtok_PYGM,PYGM,1,1,drug_sample,PUTATIVE_TARGET,PYGM
rawtok_PYRIMIDINE_ANTIMETABOLITE,PYRIMIDINE ANTIMETABOLITE,1,1,drug_sample,PUTATIVE_TARGET,Pyrimidine antimetabolite
rawtok_PYRIMIDINE_SYNTHESIS_INHIBITOR,PYRIMIDINE SYNTHESIS INHIBITOR,1,1,drug_sample,PUTATIVE_TARGET,Pyrimidine synthesis inhibitor
rawtok_QPRT,QPRT,1,1,drug_sample,PUTATIVE_TARGET,QPRT
rawtok_RAC1,RAC1,1,1,drug_sample,PUTATIVE_TARGET,RAC1
rawtok_RAC2,RAC2,1,1,drug_sample,PUTATIVE_TARGET,RAC2
rawtok_RAC3,RAC3,1,1,drug_sample,PUTATIVE_TARGET,RAC3
rawtok_RAD51,RAD51,1,1,drug_sample,PUTATIVE_TARGET,RAD51
rawtok_RAR,RAR,1,1,drug_sample,PUTATIVE_TARGET,RAR
rawtok_RAS_EFFECTOR,RAS EFFECTOR,1,1,drug_sample,PUTATIVE_TARGET,RAS effector
rawtok_RAS_RELATED_C3_BOTULINUM_TOXIN_SUBSTRATE_1,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1,1,1,targets,single_protein_pref_name,Ras-related C3 botulinum toxin substrate 1
rawtok_REDUCED_FOLATE_TRANSPORTER,REDUCED FOLATE TRANSPORTER,1,1,targets,single_protein_pref_name,Reduced folate transporter
rawtok_RETINIOIC_X_RECEPTOR_RXR_AGONIST,RETINIOIC X RECEPTOR (RXR) AGONIST,1,1,drug_sample,PUTATIVE_TARGET,Retinioic X receptor (RXR) agonist
rawtok_RETINOIC_ACID,RETINOIC ACID,1,1,drug_sample,PUTATIVE_TARGET,Retinoic acid
rawtok_RFK,RFK,1,1,drug_sample,PUTATIVE_TARGET,RFK
rawtok_RGS4,RGS4,1,1,drug_sample,PUTATIVE_TARGET,RGS4
rawtok_RGS8,RGS8,1,1,drug_sample,PUTATIVE_TARGET,RGS8
rawtok_RHODOPSIN_KINASE_GRK1,RHODOPSIN KINASE GRK1,1,1,targets,single_protein_pref_name,Rhodopsin kinase GRK1
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_5,RIBOSOMAL PROTEIN S6 KINASE ALPHA-5,1,1,targets,single_protein_pref_name,Ribosomal protein S6 kinase alpha-5
rawtok_RNA_HELICASE_A,RNA HELICASE A,1,1,drug_sample,PUTATIVE_TARGET,RNA helicase A
rawtok_RNA_POLYMERASE,RNA POLYMERASE,1,1,drug_sample,PUTATIVE_TARGET,RNA polymerase
rawtok_RNA_POLYMERASE_1,RNA POLYMERASE 1,1,1,drug_sample,PUTATIVE_TARGET,RNA Polymerase 1
rawtok_RNASE1,RNASE1,1,1,drug_sample,PUTATIVE_TARGET,RNASE1
rawtok_RNPEP,RNPEP,1,1,drug_sample,PUTATIVE_TARGET,RNPEP
rawtok_ROCK,ROCK,1,1,drug_sample,PUTATIVE_TARGET,ROCK
rawtok_RON,RON,1,1,drug_sample,PUTATIVE_TARGET,RON
rawtok_ROS1,ROS1,1,1,drug_sample,PUTATIVE_TARGET,ROS1
rawtok_RPS2,RPS2,1,1,drug_sample,PUTATIVE_TARGET,RPS2
rawtok_RPS6KA2,RPS6KA2,1,1,drug_sample,PUTATIVE_TARGET,RPS6KA2
rawtok_RSK1,RSK1,1,1,drug_sample,PUTATIVE_TARGET,RSK1
rawtok_RSK3,RSK3,1,1,drug_sample,PUTATIVE_TARGET,RSK3
rawtok_S1P,S1P,1,1,drug_sample,PUTATIVE_TARGET,S1P
rawtok_S6K1,S6K1,1,1,drug_sample,PUTATIVE_TARGET,S6K1
rawtok_SCD,SCD,1,1,drug_sample,PUTATIVE_TARGET,SCD
rawtok_SCNN1A,SCNN1A,1,1,drug_sample,PUTATIVE_TARGET,SCNN1A
rawtok_SCNN1B,SCNN1B,1,1,drug_sample,PUTATIVE_TARGET,SCNN1B
rawtok_SCNN1D,SCNN1D,1,1,drug_sample,PUTATIVE_TARGET,SCNN1D
rawtok_SCNN1G,SCNN1G,1,1,drug_sample,PUTATIVE_TARGET,SCNN1G
rawtok_SDHD,SDHD,1,1,drug_sample,PUTATIVE_TARGET,SDHD
rawtok_SELE,SELE,1,1,drug_sample,PUTATIVE_TARGET,SELE
rawtok_SELL,SELL,1,1,drug_sample,PUTATIVE_TARGET,SELL
rawtok_SENP2,SENP2,1,1,drug_sample,PUTATIVE_TARGET,SENP2
rawtok_SERCA,SERCA,1,1,drug_sample,PUTATIVE_TARGET,SERCA
rawtok_SERINE_HYDROXYMETHYLTRANSFERASE_MITOCHONDRIAL,"SERINE HYDROXYMETHYLTRANSFERASE, MITOCHONDRIAL",1,1,targets,single_protein_pref_name,"Serine hydroxymethyltransferase, mitochondrial"
rawtok_SERINE_PROTEIN_KINASE_ATR_INHIBITOR,SERINE-PROTEIN KINASE ATR INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,Serine-protein kinase ATR inhibitor
rawtok_SERINE_THREONINE_PROTEIN_KINASE_32B,SERINE/THREONINE-PROTEIN KINASE 32B,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase 32B
rawtok_SERINE_THREONINE_PROTEIN_KINASE_32C,SERINE/THREONINE-PROTEIN KINASE 32C,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase 32C
rawtok_SERINE_THREONINE_PROTEIN_KINASE_38,SERINE/THREONINE-PROTEIN KINASE 38,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase 38
rawtok_SERINE_THREONINE_PROTEIN_KINASE_38_LIKE,SERINE/THREONINE-PROTEIN KINASE 38-LIKE,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase 38-like
rawtok_SERINE_THREONINE_PROTEIN_KINASE_AKT_INHIBITOR,SERINE/THREONINE-PROTEIN KINASE AKT INHIBITOR,1,1,mechanisms,mechanism_of_action,Serine/threonine-protein kinase AKT inhibitor
rawtok_SERINE_THREONINE_PROTEIN_KINASE_BRSK2,SERINE/THREONINE-PROTEIN KINASE BRSK2,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase BRSK2
rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK1_INHIBITOR,SERINE/THREONINE-PROTEIN KINASE CHK1 INHIBITOR,1,1,mechanisms,mechanism_of_action,Serine/threonine-protein kinase Chk1 inhibitor
rawtok_SERINE_THREONINE_PROTEIN_KINASE_DCLK1,SERINE/THREONINE-PROTEIN KINASE DCLK1,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase DCLK1
rawtok_SERINE_THREONINE_PROTEIN_KINASE_DCLK2,SERINE/THREONINE-PROTEIN KINASE DCLK2,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase DCLK2
rawtok_SERINE_THREONINE_PROTEIN_KINASE_LATS1,SERINE/THREONINE-PROTEIN KINASE LATS1,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase LATS1
rawtok_SERINE_THREONINE_PROTEIN_KINASE_LATS2,SERINE/THREONINE-PROTEIN KINASE LATS2,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase LATS2
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MAK,SERINE/THREONINE-PROTEIN KINASE MAK,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase MAK
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MARK1,SERINE/THREONINE-PROTEIN KINASE MARK1,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase MARK1
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MTOR_INHIBITOR,SERINE/THREONINE-PROTEIN KINASE MTOR INHIBITOR,1,1,mechanisms,mechanism_of_action,Serine/threonine-protein kinase mTOR inhibitor
rawtok_SERINE_THREONINE_PROTEIN_KINASE_N3,SERINE/THREONINE-PROTEIN KINASE N3,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase N3
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK1,SERINE/THREONINE-PROTEIN KINASE NEK1,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase Nek1
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK5,SERINE/THREONINE-PROTEIN KINASE NEK5,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase Nek5
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK6,SERINE/THREONINE-PROTEIN KINASE NEK6,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase Nek6
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK7,SERINE/THREONINE-PROTEIN KINASE NEK7,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase Nek7
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK9,SERINE/THREONINE-PROTEIN KINASE NEK9,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase Nek9
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PAK_5,SERINE/THREONINE-PROTEIN KINASE PAK 5,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase PAK 5
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PAK_6,SERINE/THREONINE-PROTEIN KINASE PAK 6,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase PAK 6
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PIM_2,SERINE/THREONINE-PROTEIN KINASE PIM-2,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase pim-2
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PLK3,SERINE/THREONINE-PROTEIN KINASE PLK3,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase PLK3
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PRP4_HOMOLOG,SERINE/THREONINE-PROTEIN KINASE PRP4 HOMOLOG,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase PRP4 homolog
rawtok_SERINE_THREONINE_PROTEIN_KINASE_STK11,SERINE/THREONINE-PROTEIN KINASE STK11,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase STK11
rawtok_SERINE_THREONINE_PROTEIN_KINASE_VRK2,SERINE/THREONINE-PROTEIN KINASE VRK2,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase VRK2
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ENDORIBONUCLEASE_IRE1,SERINE/THREONINE-PROTEIN KINASE/ENDORIBONUCLEASE IRE1,1,1,targets,single_protein_pref_name,Serine/threonine-protein kinase/endoribonuclease IRE1
rawtok_SERPINB3,SERPINB3,1,1,drug_sample,PUTATIVE_TARGET,SERPINB3
rawtok_SETD8,SETD8,1,1,drug_sample,PUTATIVE_TARGET,SETD8
rawtok_SGK2,SGK2,1,1,drug_sample,PUTATIVE_TARGET,SGK2
rawtok_SGK3,SGK3,1,1,drug_sample,PUTATIVE_TARGET,SGK3
rawtok_SH2B3,SH2B3,1,1,drug_sample,PUTATIVE_TARGET,SH2B3
rawtok_SHBG,SHBG,1,1,drug_sample,PUTATIVE_TARGET,SHBG
rawtok_SHH,SHH,1,1,drug_sample,PUTATIVE_TARGET,Shh
rawtok_SHP_1_PTPN6,SHP-1 (PTPN6),1,1,drug_sample,PUTATIVE_TARGET,SHP-1 (PTPN6)
rawtok_SHP_2_PTPN11,SHP-2 (PTPN11),1,1,drug_sample,PUTATIVE_TARGET,SHP-2 (PTPN11)
rawtok_SIGMA_NON_OPIOID_INTRACELLULAR_RECEPTOR_1,SIGMA NON-OPIOID INTRACELLULAR RECEPTOR 1,1,1,targets,single_protein_pref_name,Sigma non-opioid intracellular receptor 1
rawtok_SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_3,SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3,1,1,targets,single_protein_pref_name,Signal transducer and activator of transcription 3
rawtok_SIGNAL_TRANSDUCER_AND_ACTIVATOR_OF_TRANSCRIPTION_5A,SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 5A,1,1,targets,single_protein_pref_name,Signal transducer and activator of transcription 5A
rawtok_SIK1,SIK1,1,1,drug_sample,PUTATIVE_TARGET,SIK1
rawtok_SIR2,SIR2,1,1,drug_sample,PUTATIVE_TARGET,SIR2
rawtok_SIRT,SIRT,1,1,drug_sample,PUTATIVE_TARGET,SIRT
rawtok_SIRT2,SIRT2,1,1,drug_sample,PUTATIVE_TARGET,SIRT2
rawtok_SIRT3,SIRT3,1,1,drug_sample,PUTATIVE_TARGET,SIRT3
rawtok_SLC10A1,SLC10A1,1,1,drug_sample,PUTATIVE_TARGET,SLC10A1
rawtok_SLC12A4,SLC12A4,1,1,drug_sample,PUTATIVE_TARGET,SLC12A4
rawtok_SLC12A5,SLC12A5,1,1,drug_sample,PUTATIVE_TARGET,SLC12A5
rawtok_SLC15A1,SLC15A1,1,1,drug_sample,PUTATIVE_TARGET,SLC15A1
rawtok_SLC15A2,SLC15A2,1,1,drug_sample,PUTATIVE_TARGET,SLC15A2
rawtok_SLC18A1,SLC18A1,1,1,drug_sample,PUTATIVE_TARGET,SLC18A1
rawtok_SLC19A2,SLC19A2,1,1,drug_sample,PUTATIVE_TARGET,SLC19A2
rawtok_SLC19A3,SLC19A3,1,1,drug_sample,PUTATIVE_TARGET,SLC19A3
rawtok_SLC22A12,SLC22A12,1,1,drug_sample,PUTATIVE_TARGET,SLC22A12
rawtok_SLC25A15,SLC25A15,1,1,drug_sample,PUTATIVE_TARGET,SLC25A15
rawtok_SLC25A2,SLC25A2,1,1,drug_sample,PUTATIVE_TARGET,SLC25A2
rawtok_SLC2A2,SLC2A2,1,1,drug_sample,PUTATIVE_TARGET,SLC2A2
rawtok_SLC37A4,SLC37A4,1,1,drug_sample,PUTATIVE_TARGET,SLC37A4
rawtok_SLC46A1,SLC46A1,1,1,drug_sample,PUTATIVE_TARGET,SLC46A1
rawtok_SLC47A2,SLC47A2,1,1,drug_sample,PUTATIVE_TARGET,SLC47A2
rawtok_SLC5A11,SLC5A11,1,1,drug_sample,PUTATIVE_TARGET,SLC5A11
rawtok_SLC5A2,SLC5A2,1,1,drug_sample,PUTATIVE_TARGET,SLC5A2
rawtok_SLC5A3,SLC5A3,1,1,drug_sample,PUTATIVE_TARGET,SLC5A3
rawtok_SLC6A5,SLC6A5,1,1,drug_sample,PUTATIVE_TARGET,SLC6A5
rawtok_SLC6A8,SLC6A8,1,1,drug_sample,PUTATIVE_TARGET,SLC6A8
rawtok_SLC6A9,SLC6A9,1,1,drug_sample,PUTATIVE_TARGET,SLC6A9
rawtok_SLC7A1,SLC7A1,1,1,drug_sample,PUTATIVE_TARGET,SLC7A1
rawtok_SLC7A2,SLC7A2,1,1,drug_sample,PUTATIVE_TARGET,SLC7A2
rawtok_SLC7A3,SLC7A3,1,1,drug_sample,PUTATIVE_TARGET,SLC7A3
rawtok_SLC7A4,SLC7A4,1,1,drug_sample,PUTATIVE_TARGET,SLC7A4
rawtok_SLC9A1,SLC9A1,1,1,drug_sample,PUTATIVE_TARGET,SLC9A1
rawtok_SLCO1A2,SLCO1A2,1,1,drug_sample,PUTATIVE_TARGET,SLCO1A2
rawtok_SLK,SLK,1,1,drug_sample,PUTATIVE_TARGET,SLK
rawtok_SMOOTHENED_HOMOLOG_INHIBITOR,SMOOTHENED HOMOLOG INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,Smoothened homolog inhibitor
rawtok_SMOX,SMOX,1,1,drug_sample,PUTATIVE_TARGET,SMOX
rawtok_SMS,SMS,1,1,drug_sample,PUTATIVE_TARGET,SMS
rawtok_SONIC_HEDGEHOG_PROTEIN,SONIC HEDGEHOG PROTEIN,1,1,targets,single_protein_pref_name,Sonic hedgehog protein
rawtok_SORD,SORD,1,1,drug_sample,PUTATIVE_TARGET,SORD
rawtok_SPHINGOSINE_KINASE,SPHINGOSINE KINASE,1,1,drug_sample,PUTATIVE_TARGET,Sphingosine Kinase
rawtok_SQLE,SQLE,1,1,drug_sample,PUTATIVE_TARGET,SQLE
rawtok_SRD5A1,SRD5A1,1,1,drug_sample,PUTATIVE_TARGET,SRD5A1
rawtok_SRMS,SRMS,1,1,drug_sample,PUTATIVE_TARGET,SRMS
rawtok_SRSF_PROTEIN_KINASE_2,SRSF PROTEIN KINASE 2,1,1,targets,single_protein_pref_name,SRSF protein kinase 2
rawtok_STAT5B,STAT5B,1,1,drug_sample,PUTATIVE_TARGET,STAT5B
rawtok_STEAROYL_COA_DESATURASE,STEAROYL-COA DESATURASE,1,1,drug_sample,PUTATIVE_TARGET,Stearoyl-CoA desaturase
rawtok_STEM_CELL_GROWTH_FACTOR_RECEPTOR_INHIBITOR,STEM CELL GROWTH FACTOR RECEPTOR INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,Stem cell growth factor receptor inhibitor
rawtok_STIMULATOR_OF_INTERFERON_GENES_PROTEIN,STIMULATOR OF INTERFERON GENES PROTEIN,1,1,targets,single_protein_pref_name,Stimulator of interferon genes protein
rawtok_STK10,STK10,1,1,drug_sample,PUTATIVE_TARGET,STK10
rawtok_STK17A,STK17A,1,1,drug_sample,PUTATIVE_TARGET,STK17A
rawtok_STK24,STK24,1,1,drug_sample,PUTATIVE_TARGET,STK24
rawtok_STK4,STK4,1,1,drug_sample,PUTATIVE_TARGET,STK4
rawtok_STRUCTURAL_MAINTENANCE_OF_CHROMOSOMES_PROTEIN_1A,STRUCTURAL MAINTENANCE OF CHROMOSOMES PROTEIN 1A,1,1,targets,single_protein_pref_name,Structural maintenance of chromosomes protein 1A
rawtok_STRUCTURAL_MAINTENANCE_OF_CHROMOSOMES_PROTEIN_2,STRUCTURAL MAINTENANCE OF CHROMOSOMES PROTEIN 2,1,1,targets,single_protein_pref_name,Structural maintenance of chromosomes protein 2
rawtok_SV2A,SV2A,1,1,drug_sample,PUTATIVE_TARGET,SV2A
rawtok_TAAR1,TAAR1,1,1,drug_sample,PUTATIVE_TARGET,TAAR1
rawtok_TACR1,TACR1,1,1,drug_sample,PUTATIVE_TARGET,TACR1
rawtok_TACR2,TACR2,1,1,drug_sample,PUTATIVE_TARGET,TACR2
rawtok_TACR3,TACR3,1,1,drug_sample,PUTATIVE_TARGET,TACR3
rawtok_TAF1,TAF1,1,1,drug_sample,PUTATIVE_TARGET,TAF1
rawtok_TANKYRASE_1,TANKYRASE 1,1,1,drug_sample,PUTATIVE_TARGET,Tankyrase 1
rawtok_TBK1,TBK1,1,1,drug_sample,PUTATIVE_TARGET,TBK1
rawtok_TBXA2R,TBXA2R,1,1,drug_sample,PUTATIVE_TARGET,TBXA2R
rawtok_TEC,TEC,1,1,drug_sample,PUTATIVE_TARGET,TEC
rawtok_TELOMERASE,TELOMERASE,1,1,drug_sample,PUTATIVE_TARGET,Telomerase
rawtok_TERT,TERT,1,1,drug_sample,PUTATIVE_TARGET,TERT
rawtok_TGF_BETA_RECEPTOR_TYPE_1,TGF-BETA RECEPTOR TYPE-1,1,1,targets,single_protein_pref_name,TGF-beta receptor type-1
rawtok_TGFB,TGFB,1,1,drug_sample,PUTATIVE_TARGET,TGFB
rawtok_TGFBR2,TGFBR2,1,1,drug_sample,PUTATIVE_TARGET,TGFBR2
rawtok_THRA,THRA,1,1,drug_sample,PUTATIVE_TARGET,THRA
rawtok_THRB,THRB,1,1,drug_sample,PUTATIVE_TARGET,THRB
