feature,n_improve,n_worsen,n_nonmissing_total,coverage_rate_total,mean_improve,mean_worsen,median_improve,median_worsen,mean_diff_improve_minus_worsen,median_diff_improve_minus_worsen,cohen_d_improve_minus_worsen,abs_cohen_d,effect_direction,pvalue,single_feature_auc_abs,fdr_bh,minus_log10_p
ki_best_pchembl,12,10,22,0.6111111111111112,8.712499999999999,8.205,9.17,8.285,0.5074999999999985,0.8849999999999998,0.3111943193543782,0.3111943193543782,higher_in_improve,0.44802241781132157,0.6,0.6170995088404809,0.3487002545550488
rtb,20,16,36,1.0,6.25,5.125,6.0,5.0,1.125,1.0,0.3087188186199534,0.3087188186199534,higher_in_improve,0.49149700889256376,0.56875,0.6170995088404809,0.3084791208133452
psa_tpsa,20,16,36,1.0,88.227,101.29124999999999,85.215,79.58000000000001,-13.064249999999987,5.634999999999991,-0.29964714840716195,0.29964714840716195,higher_in_worsen,0.7623171183380947,0.53125,0.8712195638149653,0.11786432774892262
max_phase,13,9,22,0.6111111111111112,3.1538461538461537,3.4444444444444446,3.0,4.0,-0.2905982905982909,-1.0,-0.2912212244119565,0.2912212244119565,higher_in_worsen,0.32591734892942026,0.6153846153846154,0.6170995088404809,0.48689252095929686
qed_weighted,20,16,36,1.0,0.43999999999999995,0.490625,0.44,0.555,-0.05062500000000003,-0.11500000000000005,-0.28456366145597106,0.28456366145597106,higher_in_worsen,0.43510974202227315,0.578125,0.6170995088404809,0.3614011928296667
first_approval,6,7,13,0.3611111111111111,2002.8333333333333,1997.857142857143,2007.5,2005.0,4.976190476190368,2.5,0.2710451263085774,0.2710451263085774,higher_in_improve,0.6678058142504256,0.5833333333333333,0.7856538991181479,0.17534980408086362
oral,20,16,36,1.0,0.25,0.375,0.0,0.0,-0.125,0.0,-0.26614532371118854,0.26614532371118854,higher_in_worsen,0.43669816952381335,0.5625,0.6170995088404809,0.3598186284756675
hbd,20,16,36,1.0,1.9,2.3125,2.0,2.0,-0.4125000000000001,0.0,-0.2636355044964843,0.2636355044964843,higher_in_worsen,0.4236829105821295,0.578125,0.6170995088404809,0.37295905308553273
AUC_std,20,16,36,1.0,0.11791845479404447,0.10039262976206031,0.11485711277449466,0.09464217312956164,0.01752582503198416,0.020214939644933025,0.25581447384013073,0.25581447384013073,higher_in_improve,0.4169000671394101,0.58125,0.6170995088404809,0.3799680349330143
n_rows,20,16,36,1.0,1360.45,1283.625,1329.0,1157.0,76.82500000000005,172.0,0.24378757296177553,0.24378757296177553,higher_in_improve,0.2789754660538888,0.6078125,0.6170995088404809,0.5544339882171417
Y_iqr,20,16,36,1.0,2.0844916583059225,1.9020876431637066,1.836691125,1.68340975,0.18240401514221594,0.15328137499999994,0.21478661767309046,0.21478661767309046,higher_in_improve,0.34765171013757123,0.59375,0.6170995088404809,0.45885562993007334
best_standard_value,19,15,34,0.9444444444444444,557.8338484210527,1119.0524,0.13,2.0,-561.2185515789473,-1.87,-0.20554816689904248,0.20554816689904248,higher_in_worsen,0.09563785863486472,0.6701754385964913,0.5693586380922451,1.019370156452888
heavy_atoms,20,16,36,1.0,31.9,29.875,32.5,30.0,2.0249999999999986,2.5,0.19262475615215927,0.19262475615215927,higher_in_improve,0.4728908234131225,0.571875,0.6170995088404809,0.32523911351621193
hba,20,16,36,1.0,5.85,6.3125,6.0,6.0,-0.46250000000000036,0.0,-0.17555236956979847,0.17555236956979847,higher_in_worsen,0.9101729989318859,0.5125,0.9839708096560928,0.04087605235942467
full_mwt,20,16,36,1.0,462.2434999999999,434.120625,463.275,434.425,28.122874999999908,28.849999999999966,0.17319004248474792,0.17319004248474792,higher_in_improve,0.4543759676970297,0.575,0.6170995088404809,0.34258464686696644
AUC_mean,20,16,36,1.0,0.8740476721732815,0.8908754754873989,0.8938819859930653,0.8977702464389038,-0.016827803314117373,-0.003888260445838454,-0.1629191189830229,0.1629191189830229,higher_in_worsen,0.4354054072346276,0.578125,0.6170995088404809,0.36110618182322196
act_pchembl_mean,19,15,34,0.9444444444444444,5.822000855080961,5.6807647964844925,5.46046904315197,5.2924999999999995,0.14123605859646826,0.16796904315197025,0.1584922653689358,0.1584922653689358,higher_in_improve,0.34902673977098286,0.5964912280701754,0.6170995088404809,0.45714129943014237
median_pchembl,19,15,34,0.9444444444444444,5.612105263157895,5.483999999999999,5.37,5.06,0.12810526315789605,0.3100000000000005,0.12208605676702336,0.12208605676702336,higher_in_improve,0.43512098843750835,0.5807017543859649,0.6170995088404809,0.36138996763178033
act_pchembl_median,19,15,34,0.9444444444444444,5.612105263157895,5.483999999999999,5.37,5.06,0.12810526315789605,0.3100000000000005,0.12208605676702336,0.12208605676702336,higher_in_improve,0.43512098843750835,0.5807017543859649,0.6170995088404809,0.36138996763178033
curve_RMSE_std,20,16,36,1.0,0.04414111855965138,0.04354531331673447,0.04422919373499148,0.03950633090704121,0.0005958052429169136,0.004722862827950265,0.07883724111548164,0.07883724111548164,higher_in_improve,0.5774418757515851,0.55625,0.6999295463655578,0.238491724528057
curve_RMSE_mean,20,16,36,1.0,0.08176693064473288,0.08315297896131416,0.07878649181117534,0.08254825144502145,-0.001386048316581276,-0.003761759633846118,-0.07737054032618877,0.07737054032618877,higher_in_worsen,0.8860842360149852,0.515625,0.9839708096560928,0.052524989741020135
mech_direct_interaction_mean,10,9,19,0.5277777777777778,1.0,1.0,1.0,1.0,0.0,0.0,,,neutral_or_missing,1.0,0.5,1.0,-0.0
mech_disease_efficacy_mean,10,9,19,0.5277777777777778,1.0,1.0,1.0,1.0,0.0,0.0,,,neutral_or_missing,1.0,0.5,1.0,-0.0
mech_molecular_mechanism_mean,10,9,19,0.5277777777777778,1.0,1.0,1.0,1.0,0.0,0.0,,,neutral_or_missing,1.0,0.5,1.0,-0.0
