feature,pvalue,fdr_bh,abs_cohen_d,single_feature_auc_abs,cohen_d_improve_minus_worsen,effect_direction,threshold
act_pchembl_mean,0.34902673977098286,0.6170995088404809,0.1584922653689358,0.5964912280701754,0.1584922653689358,higher_in_improve,0.01
median_pchembl,0.43512098843750835,0.6170995088404809,0.12208605676702336,0.5807017543859649,0.12208605676702336,higher_in_improve,0.01
act_pchembl_median,0.43512098843750835,0.6170995088404809,0.12208605676702336,0.5807017543859649,0.12208605676702336,higher_in_improve,0.01
curve_RMSE_std,0.5774418757515851,0.6999295463655578,0.07883724111548164,0.55625,0.07883724111548164,higher_in_improve,0.01
curve_RMSE_mean,0.8860842360149852,0.9839708096560928,0.07737054032618877,0.515625,-0.07737054032618877,higher_in_worsen,0.01
mech_direct_interaction_mean,1.0,1.0,,0.5,,neutral_or_missing,0.01
mech_disease_efficacy_mean,1.0,1.0,,0.5,,neutral_or_missing,0.01
mech_molecular_mechanism_mean,1.0,1.0,,0.5,,neutral_or_missing,0.01
kd_best_pchembl,0.0380952380952381,0.37142857142857144,1.6327677503373075,0.9166666666666667,1.6327677503373075,higher_in_improve,0.02
ic50_best_pchembl,0.01228248142534192,0.2930322227772461,1.4597955523903257,0.8916666666666666,1.4597955523903257,higher_in_improve,0.02
best_pchembl,0.022540940213634314,0.2930322227772461,1.450791298395708,0.8583333333333334,1.450791298395708,higher_in_improve,0.02
ec50_best_pchembl,0.16666666666666666,0.7904595404595406,1.2878642138403655,0.8333333333333334,1.2878642138403655,higher_in_improve,0.02
Z_SCORE_abs_mean,0.05555555555555556,0.4333333333333334,1.0402815820286948,0.7792207792207793,-1.0402815820286948,higher_in_worsen,0.02
act_pchembl_std,0.09340659340659341,0.6071428571428571,0.9984685561616222,0.7666666666666666,0.9984685561616222,higher_in_improve,0.02
Z_SCORE_mean,0.2109100050276521,0.7904595404595406,0.8477630725302708,0.6883116883116883,-0.8477630725302708,higher_in_worsen,0.02
Z_SCORE_std,0.2109100050276521,0.7904595404595406,0.6954506704391269,0.6883116883116883,-0.6954506704391269,higher_in_worsen,0.02
TCGA_entropy,0.24629210658622425,0.7904595404595406,0.6189251581363261,0.6753246753246753,0.6189251581363261,higher_in_improve,0.02
AUC_std,0.24629210658622425,0.7904595404595406,0.6089428837411948,0.6753246753246753,0.6089428837411948,higher_in_improve,0.02
n_rows,0.23880662862932345,0.7904595404595406,0.5703807954979385,0.6753246753246753,0.5703807954979385,higher_in_improve,0.02
best_standard_value,0.022540940213634314,0.2930322227772461,0.5389829775497339,0.8583333333333334,-0.5389829775497339,higher_in_worsen,0.02
rtb,0.5513110086632442,1.0,0.46820858136007903,0.5909090909090908,0.46820858136007903,higher_in_improve,0.02
Y_median,0.42515082956259426,1.0,0.396259922700397,0.6233766233766234,-0.396259922700397,higher_in_worsen,0.02
Y_mean,0.9298014077425841,1.0,0.38138503569709387,0.5194805194805195,-0.38138503569709387,higher_in_worsen,0.02
Y_std,0.37493715434891906,1.0,0.3813850356967498,0.6363636363636364,-0.3813850356967498,higher_in_worsen,0.02
qed_weighted,0.5256749494842556,1.0,0.33444019328076563,0.5974025974025974,-0.33444019328076563,higher_in_worsen,0.02
black_box_warning,0.57200372476894,1.0,0.2979934375117828,0.564935064935065,-0.2979934375117828,higher_in_worsen,0.02
ki_best_pchembl,0.6904761904761905,1.0,0.29674921378433355,0.6,0.29674921378433355,higher_in_improve,0.02
AUC_mean,0.6589994972347913,1.0,0.28916663265360953,0.5714285714285714,-0.28916663265360953,higher_in_worsen,0.02
Y_iqr,0.6589994972347913,1.0,0.27698998576429,0.5714285714285714,0.27698998576429,higher_in_improve,0.02
curve_RMSE_std,0.42515082956259426,1.0,0.2606258067235738,0.6233766233766234,0.2606258067235738,higher_in_improve,0.02
hba,0.783774478782794,1.0,0.21322782498150852,0.5454545454545454,-0.21322782498150852,higher_in_worsen,0.02
